Phi,d50_um,sigma,SP_percent,phi_max,m1_Pa,Tau0_Pa
0.4848,18.065,1.7872,0.75,0.7751,0.7912,0.4008
0.4701,18.263,1.8752,0.4,0.6337,0.8042,0.8062
0.4619,17.77,1.5442,0.731,0.7461,0.7677,0.3569
0.4976,18.025,1.838,1.056,0.9112,0.7854,0.2568
0.4568,16.114,1.6386,0.653,0.7376,0.7761,0.3572
0.508,18.548,1.5025,1.059,0.8968,0.7427,0.2793
0.4975,14.288,1.7198,0.942,0.8336,0.7236,0.318
0.4854,15.246,1.59,0.5,0.6518,0.6405,0.6754
0.506,17.694,1.884,0.957,0.8787,0.6233,0.2467
0.4827,15.981,1.7782,0.354,0.5896,0.6916,1.2332
0.5057,15.313,1.7018,0.971,0.8582,0.6593,0.2818
0.4968,15.21,1.8947,0.38,0.6064,0.6262,1.1556
0.4922,18.882,1.8819,0.513,0.6604,0.6977,0.7492
0.4737,17.645,1.881,0.858,0.8163,0.8484,0.3224
0.4724,17.071,1.6337,0.638,0.7351,0.7627,0.4164
0.4958,17.397,1.6882,0.671,0.7406,0.7819,0.5253
0.4914,18.178,1.5175,0.445,0.6305,0.7481,1.0118
0.488,17.432,1.5279,0.445,0.6424,0.6813,0.7988
0.5052,15.21,1.8505,0.387,0.6129,0.8134,1.5889
0.4904,16.971,1.7413,0.985,0.8643,0.7691,0.2808
0.4993,14.692,1.7993,0.503,0.649,0.6314,0.8084
0.4545,16.3,1.7428,0.538,0.6835,0.8221,0.4933
0.4559,14.021,1.5084,1.085,0.906,0.8177,0.19
0.4729,18.525,1.724,0.814,0.8084,0.698,0.2722
0.4605,17.884,1.7694,0.836,0.7955,0.7794,0.2856
0.4754,17.921,1.8053,0.738,0.7587,0.7852,0.3924
0.4648,14.867,1.8587,0.471,0.6349,0.6713,0.624
0.4869,16.968,1.5657,0.971,0.8494,0.7486,0.2806
0.503,15.1,1.6554,0.722,0.7491,0.7884,0.5443
0.4565,16.563,1.6174,0.604,0.7186,0.743,0.3751
0.4594,16.904,1.6553,0.678,0.7337,0.7859,0.3786
0.4549,16.333,1.5211,0.495,0.6756,0.7022,0.4433
0.4661,16.776,1.7352,0.499,0.6495,0.6766,0.5752
0.4973,15.641,1.6736,0.738,0.762,0.6369,0.3885
0.4687,18.259,1.7736,0.828,0.7808,0.6082,0.257
0.4623,18.575,1.8376,0.664,0.7199,0.6001,0.3196
0.4675,14.09,1.8851,1.033,0.9082,0.8012,0.2046
0.5015,17.046,1.61,0.408,0.6047,0.7238,1.464
0.4879,17.363,1.8009,0.686,0.7328,0.6822,0.4416
0.4849,17.243,1.8597,0.925,0.8421,0.82,0.3108
0.4545,17.903,1.8022,1.058,0.898,0.8281,0.1952
0.4917,15.932,1.5845,0.924,0.8437,0.7791,0.312
0.497,18.443,1.5961,0.739,0.7818,0.6978,0.3849
0.4511,16.195,1.518,0.899,0.8574,0.7643,0.2015
0.493,18.097,1.5523,0.608,0.7198,0.6847,0.5023
0.4669,18.463,1.6678,0.615,0.7273,0.8366,0.4498
0.5054,14.874,1.701,0.715,0.7595,0.7912,0.529
0.4719,18.456,1.8216,1.052,0.8788,0.7683,0.2258
0.488,17.37,1.7166,1.082,0.9057,0.7152,0.2197
0.5099,18.07,1.8107,0.72,0.7423,0.7283,0.5595
0.4661,14.058,1.529,0.948,0.8474,0.7138,0.2237
0.4777,17.183,1.7456,0.828,0.812,0.8238,0.3308
0.4514,17.542,1.5272,0.388,0.6275,0.6356,0.5288
0.4654,16.956,1.6259,0.773,0.7817,0.6345,0.2588
0.4808,14.196,1.6088,0.581,0.6988,0.6813,0.4972
0.4912,16.862,1.6618,0.537,0.6588,0.7727,0.8287
0.455,14.519,1.8252,0.389,0.6022,0.6186,0.6576
0.4749,16.364,1.8599,0.383,0.6191,0.7697,0.9229
0.4848,16.594,1.5205,1.017,0.8911,0.7579,0.2385
0.4962,16.032,1.8087,0.958,0.8565,0.8368,0.3313
0.4636,15.789,1.7591,0.83,0.8285,0.7509,0.2474
0.5023,15.749,1.7205,0.494,0.6417,0.8244,1.1679
0.4584,15.009,1.7694,0.372,0.5969,0.7762,0.9038
0.4783,18.7,1.6372,0.521,0.6557,0.6832,0.6428
0.4706,15.863,1.8715,0.976,0.8921,0.6464,0.1792
0.4609,17.545,1.5428,0.861,0.8031,0.7313,0.2604
0.5004,15.187,1.5198,0.471,0.6286,0.7123,1.1069
0.4976,17.142,1.7755,0.402,0.6158,0.7402,1.2519
0.4699,14.6,1.6248,0.725,0.7658,0.7276,0.3331
0.4692,16.287,1.8385,0.539,0.6958,0.8308,0.5442
0.46,16.319,1.5696,0.948,0.8685,0.6215,0.1706
0.4719,15.124,1.5781,0.507,0.6743,0.7216,0.5554
0.4775,18.659,1.8988,0.773,0.7879,0.7698,0.3426
0.4624,15.095,1.5147,0.737,0.7418,0.6019,0.2872
0.4801,16.425,1.7163,0.894,0.8141,0.7016,0.2856
0.4863,14.468,1.5067,0.823,0.7979,0.6361,0.2941
0.4611,16.202,1.7461,1.02,0.8972,0.638,0.1598
0.4595,15.431,1.5796,0.872,0.804,0.7662,0.2684
0.4603,18.375,1.8435,0.929,0.8345,0.6202,0.1937
0.4592,17.992,1.7829,0.625,0.7095,0.6379,0.3477
0.4797,18.493,1.8585,1.021,0.8769,0.7026,0.2227
0.5014,18.735,1.6985,0.876,0.8366,0.7405,0.3328
0.482,15.475,1.6944,0.457,0.6221,0.7055,0.9067
0.4674,16.09,1.8772,0.756,0.7505,0.6199,0.298
0.5012,18.757,1.8979,0.531,0.6925,0.6492,0.6173
0.4667,15.413,1.6116,1.069,0.8909,0.745,0.2004
0.4689,17.146,1.7797,0.786,0.7966,0.7027,0.2775
0.4776,18.884,1.5443,0.998,0.8818,0.6951,0.2125
0.4951,17.792,1.6487,0.792,0.8014,0.7072,0.3496
0.4777,14.855,1.6703,0.56,0.6751,0.8186,0.6698
0.4905,18.746,1.8518,0.647,0.7087,0.6397,0.4882
0.4542,18.071,1.7741,0.489,0.6617,0.8204,0.56
0.4508,18.546,1.8278,0.734,0.7752,0.8337,0.3037
0.4893,17.469,1.6957,0.75,0.7906,0.6991,0.3436
0.4877,15.66,1.7498,0.822,0.8252,0.6995,0.2914
0.4616,18.087,1.7031,0.821,0.8241,0.7161,0.2357
0.4636,15.007,1.5937,1.047,0.9124,0.7907,0.1924
0.4986,14.73,1.6157,0.384,0.6013,0.67,1.3453
0.4888,16.748,1.8551,0.384,0.5925,0.7143,1.3587
0.4577,15.861,1.6728,0.604,0.7238,0.6562,0.3267
0.5039,15.868,1.6332,1.06,0.9008,0.6543,0.234
0.4513,18.426,1.5347,0.376,0.6034,0.8042,0.805
0.4506,17.435,1.6176,0.695,0.7455,0.6056,0.252
0.4566,16.575,1.7142,0.567,0.6816,0.6625,0.4114
0.5094,17.44,1.5482,0.369,0.6062,0.7649,1.7226
0.4878,16.643,1.8242,0.687,0.7285,0.727,0.4814
0.487,14.183,1.7946,0.88,0.8107,0.6419,0.2826
0.5063,16.872,1.8367,0.486,0.6368,0.7853,1.2264
0.4733,18.246,1.8499,0.632,0.7241,0.7237,0.4224
0.4953,18.92,1.6169,0.582,0.6939,0.7014,0.6181
0.4691,17.695,1.611,0.986,0.8973,0.8212,0.2205
0.4593,17.116,1.5298,0.487,0.6491,0.7081,0.557
0.4764,14.608,1.579,0.81,0.8174,0.6602,0.256
0.5091,18.349,1.7075,0.979,0.8512,0.8302,0.3761
0.4969,14.702,1.7685,0.914,0.8574,0.7295,0.2896
0.4838,15.124,1.7233,0.425,0.6428,0.6352,0.7035
0.4618,18.986,1.512,0.903,0.8266,0.8007,0.2615
0.5015,14.577,1.6627,1.094,0.9086,0.7776,0.2652
0.4747,17.365,1.8297,0.53,0.6803,0.8065,0.6165
0.5022,14.909,1.6721,0.416,0.6334,0.8119,1.2367
0.4759,17.23,1.7283,0.446,0.6278,0.6908,0.7804
0.5006,14.787,1.5124,0.577,0.6911,0.7177,0.6834
0.474,18.549,1.7037,0.731,0.7758,0.8098,0.3682
0.484,14.439,1.7673,0.704,0.7495,0.7831,0.4461
0.4861,16.516,1.6859,0.805,0.7877,0.8261,0.3995
0.4661,17.039,1.6619,0.803,0.811,0.8497,0.3075
0.4735,17.475,1.844,0.71,0.7569,0.6729,0.3332
0.4897,17.244,1.8485,1.033,0.8895,0.6519,0.2152
0.4963,16.98,1.5359,0.407,0.6311,0.7069,1.0164
0.491,17.843,1.5905,0.782,0.7805,0.669,0.3502
0.4579,14.742,1.7544,0.722,0.7396,0.6864,0.3163
0.4999,16.079,1.7913,0.362,0.5909,0.6006,1.3938
0.4737,15.139,1.8856,0.38,0.6061,0.7358,0.9744
0.4729,18.66,1.6115,0.456,0.6453,0.7822,0.7435
0.4706,16.528,1.7031,0.74,0.7631,0.82,0.3831
0.4761,18.166,1.6,0.661,0.7411,0.7715,0.4241
0.493,16.284,1.69,0.787,0.8001,0.8161,0.3981
0.4558,14.613,1.5848,0.805,0.7918,0.8346,0.2971
0.5023,18.414,1.7111,0.607,0.7184,0.7403,0.604
0.4751,16.564,1.6283,0.694,0.7343,0.788,0.4442
0.5005,15.012,1.856,0.523,0.65,0.7628,0.9843
0.4801,16.525,1.5706,0.804,0.7965,0.7216,0.3169
0.4711,18.739,1.5565,0.382,0.5965,0.6981,0.9762
0.4591,16.007,1.6352,0.708,0.7561,0.7454,0.3211
0.4555,18.623,1.8305,0.447,0.6266,0.8149,0.7179
0.46,17.335,1.5936,0.612,0.7196,0.7892,0.411
0.5067,18.668,1.788,0.449,0.6483,0.6662,0.945
0.4698,14.842,1.8042,0.382,0.6078,0.7361,0.9096
0.4725,16.784,1.838,0.948,0.8504,0.6218,0.204
0.4779,14.877,1.776,0.395,0.6161,0.8394,1.0758
0.4524,16.092,1.7034,0.501,0.6476,0.6844,0.5013
0.4964,15.18,1.5294,0.448,0.6552,0.7134,0.8392
0.4576,17.114,1.5341,0.742,0.7788,0.654,0.2506
0.4984,14.219,1.5663,0.695,0.7478,0.7082,0.4703
0.4747,17.197,1.6352,0.454,0.646,0.7312,0.7068
0.4836,18.818,1.6508,0.736,0.7455,0.604,0.3497
0.5075,16.744,1.652,0.774,0.7814,0.6213,0.3793
0.4651,15.324,1.6399,0.899,0.8187,0.6878,0.2392
0.4566,16.646,1.8505,0.821,0.7861,0.7276,0.2675
0.5062,16.22,1.5088,0.398,0.6271,0.6731,1.1511
0.4539,15.594,1.7504,0.586,0.6997,0.7977,0.4338
0.4848,18.048,1.8802,1.052,0.9122,0.7203,0.2106
0.4778,16.944,1.6501,1.086,0.9168,0.8159,0.221
0.4525,14.025,1.8807,0.461,0.6617,0.8413,0.563
0.4932,16.515,1.7337,0.734,0.7831,0.6105,0.3227
0.5004,17.385,1.8089,0.686,0.748,0.6553,0.4432
0.5081,14.139,1.5987,1.017,0.893,0.7325,0.2795
0.4718,16.486,1.6204,1.079,0.9401,0.6629,0.1582
0.4829,14.969,1.5834,0.807,0.7756,0.7185,0.3562
0.4989,17.145,1.851,0.561,0.6713,0.7742,0.8305
0.4578,15.839,1.6657,1.015,0.8839,0.6487,0.1653
0.4724,14.405,1.5881,0.545,0.6888,0.724,0.5117
0.4851,14.527,1.7342,0.756,0.7535,0.6143,0.3469
0.4808,18.096,1.532,0.871,0.8012,0.6711,0.2906
0.5085,14.986,1.5854,1.074,0.8971,0.8028,0.3028
0.509,18.41,1.671,0.851,0.821,0.6415,0.3304
0.4846,18.138,1.8058,0.999,0.905,0.7019,0.21
0.4991,15.991,1.6989,0.379,0.6202,0.7282,1.2055
0.4524,16.297,1.522,0.622,0.7275,0.7754,0.3587
0.4968,18.815,1.6367,0.43,0.6392,0.7353,0.9908
0.5003,16.442,1.6608,0.952,0.8827,0.734,0.2723
0.476,15.669,1.6266,0.95,0.8702,0.7066,0.2221
0.456,15.936,1.7401,1.049,0.8948,0.6202,0.1498
0.4727,14.167,1.6543,0.942,0.8467,0.6418,0.214
0.4671,17.743,1.627,0.45,0.6431,0.6136,0.5521
0.4601,14.603,1.6843,0.559,0.6726,0.6222,0.4241
0.4819,18.176,1.8574,0.419,0.6223,0.8499,1.0893
0.4846,15.716,1.7917,0.383,0.5947,0.7397,1.2866
0.4706,17.578,1.8539,0.664,0.7509,0.8277,0.4097
0.4648,18.879,1.6348,0.47,0.6611,0.6548,0.5069
0.4986,16.625,1.6909,0.695,0.7639,0.7025,0.4295
0.4882,15.88,1.877,0.765,0.7539,0.7741,0.45
0.4558,17.311,1.5465,0.792,0.7944,0.7345,0.2585
0.4531,14.824,1.6321,0.94,0.8382,0.6647,0.1916
0.4649,16.037,1.8946,0.629,0.7063,0.7222,0.4258
0.4764,14.435,1.6213,0.733,0.7514,0.6791,0.3552
0.499,18.006,1.7418,1.091,0.9139,0.6119,0.2005
0.4925,16.42,1.5021,0.356,0.5867,0.7654,1.6562
0.4749,18.983,1.5541,0.761,0.7705,0.7299,0.3434
0.4794,14.212,1.7534,0.688,0.7292,0.6769,0.4093
0.4563,15.227,1.5231,0.517,0.6681,0.7519,0.5048
0.4627,16.302,1.587,0.981,0.8472,0.811,0.2465
0.481,17.092,1.5452,0.923,0.8433,0.7975,0.2905
0.4694,14.574,1.7442,0.669,0.7347,0.6606,0.3505
0.4651,14.005,1.5157,0.685,0.7247,0.6515,0.3486
0.4539,17.803,1.6942,0.387,0.5964,0.6178,0.68
0.4958,17.876,1.637,0.432,0.6481,0.6954,0.8591
0.4533,15.582,1.8893,0.499,0.64,0.7568,0.5902
0.4554,17.6,1.5405,0.547,0.696,0.6322,0.3567
0.5088,18.059,1.7626,0.801,0.7965,0.787,0.4523
0.482,16.616,1.5467,0.797,0.7845,0.8018,0.3784
0.4968,16.956,1.5745,0.707,0.7511,0.6512,0.4182
0.4782,18.021,1.7637,1.009,0.8883,0.7685,0.2308
0.5005,18.533,1.5765,1.098,0.9162,0.6801,0.2238
0.4959,18.186,1.7478,0.818,0.8124,0.6097,0.2891
0.4669,17.531,1.7491,1.073,0.8851,0.779,0.2142
0.4863,14.222,1.827,0.866,0.8105,0.7204,0.3153
0.4615,14.588,1.8961,0.98,0.883,0.8237,0.2176
0.4634,14.216,1.8565,1.072,0.8852,0.8425,0.2246
0.458,14.293,1.5862,0.865,0.8063,0.8144,0.2786
0.504,17.63,1.8588,0.825,0.7952,0.6873,0.3801
0.4819,16.013,1.8561,0.55,0.6982,0.8318,0.6164
0.4626,18.6,1.7601,0.404,0.6255,0.7006,0.6805
0.453,17.477,1.6638,1.005,0.8598,0.6617,0.1758
0.5014,14.704,1.5808,1.03,0.8811,0.8459,0.3188
0.4798,14.533,1.5301,0.798,0.7831,0.7927,0.3686
0.4893,16.162,1.8774,0.555,0.7027,0.6378,0.4981
0.4889,16.729,1.6438,0.372,0.6079,0.7274,1.1738
0.4673,16.601,1.6459,0.462,0.6333,0.834,0.8101
0.4635,14.886,1.6455,0.708,0.7348,0.6988,0.3491
0.4728,15.922,1.5101,0.472,0.6589,0.7836,0.6755
0.4659,14.18,1.8731,0.866,0.8354,0.6767,0.2217
0.4991,16.351,1.8488,0.354,0.6135,0.6457,1.1443
0.4644,14.637,1.7182,0.516,0.6865,0.6765,0.4443
0.4806,16.756,1.6753,0.726,0.7389,0.6087,0.354
0.4832,15.357,1.6987,0.74,0.7493,0.7938,0.4491
0.4969,15.373,1.8296,1.048,0.8874,0.7442,0.2635
0.4704,16.738,1.8269,0.961,0.8412,0.8237,0.2748
0.4565,17.198,1.7655,0.538,0.6928,0.7788,0.4528
0.5037,16.186,1.6614,0.393,0.5999,0.7792,1.7278
0.474,18.005,1.5418,0.595,0.6812,0.8066,0.6083
0.4765,18.847,1.7773,0.363,0.5846,0.7276,1.2451
0.4932,15.115,1.5226,0.991,0.8632,0.6052,0.2272
0.4542,18.701,1.7302,0.832,0.7831,0.7464,0.2716
0.454,16.561,1.7721,0.739,0.749,0.7844,0.3322
0.4909,18.115,1.5168,0.86,0.8267,0.8356,0.356
0.4924,15.871,1.6483,0.411,0.6054,0.8467,1.4773
0.494,16.975,1.5206,0.511,0.6462,0.6656,0.8152
0.4599,15.598,1.7367,0.867,0.8221,0.65,0.2123
0.4918,17.454,1.7136,0.79,0.8034,0.6181,0.2938
0.4812,18.306,1.5619,0.842,0.8063,0.7785,0.331
0.4733,18.74,1.5275,0.47,0.6428,0.745,0.7247
0.455,18.019,1.5549,0.713,0.745,0.7409,0.323
0.487,16.771,1.5021,0.491,0.6504,0.7959,0.8649
0.4986,16.557,1.7006,0.958,0.8803,0.8283,0.3055
0.4926,17.528,1.5763,0.749,0.7686,0.6559,0.3695
0.4523,17.303,1.7459,0.382,0.6217,0.7696,0.6759
0.453,15.162,1.6124,0.405,0.6145,0.6738,0.6315
0.4713,14.423,1.7427,0.389,0.594,0.7058,1.0139
0.4507,14.588,1.7597,0.701,0.7287,0.6297,0.2845
0.4532,15.542,1.8538,0.649,0.7156,0.8498,0.4214
0.4932,15.158,1.5725,0.924,0.8259,0.7285,0.3181
0.4662,17.878,1.6572,0.537,0.694,0.6746,0.4324
0.4944,17.547,1.8418,0.821,0.7952,0.6353,0.321
0.4823,17.23,1.5602,0.848,0.8268,0.6987,0.2751
0.4501,14.569,1.6644,0.534,0.6821,0.6303,0.3634
0.4992,16.19,1.637,0.92,0.8219,0.8109,0.3804
0.4705,15.29,1.764,0.435,0.6475,0.8193,0.7441
0.4835,15.671,1.7087,0.727,0.7437,0.7105,0.4152
0.508,16.135,1.7208,0.679,0.734,0.8116,0.6415
0.4573,16.944,1.5357,0.409,0.621,0.7007,0.6589
0.5024,15.6,1.7024,0.527,0.6604,0.784,0.9529
0.4551,18.273,1.7733,0.956,0.8745,0.8288,0.2129
0.4921,16.915,1.6012,0.86,0.8139,0.6038,0.2746
0.4659,17.74,1.5556,0.721,0.7731,0.7263,0.3093
0.4836,15.161,1.7139,0.576,0.6795,0.7018,0.5964
0.507,14.429,1.8878,0.605,0.6894,0.7266,0.7526
0.4501,15.188,1.652,0.886,0.8137,0.6261,0.1929
0.5026,15.797,1.6174,0.906,0.8484,0.7756,0.3358
0.4562,14.103,1.5998,0.809,0.7768,0.7886,0.3005
0.465,18.72,1.5158,0.717,0.7429,0.8469,0.4124
0.4875,17.075,1.8099,0.636,0.7073,0.6303,0.4696
0.4747,18.828,1.6366,0.526,0.652,0.8198,0.7585
0.4872,18.452,1.8,0.907,0.8223,0.6487,0.2723
0.477,16.741,1.8813,0.668,0.7343,0.8363,0.4806
0.4781,16.436,1.672,0.7,0.7596,0.6386,0.3264
0.4711,15.289,1.5906,0.766,0.7626,0.8149,0.3835
0.4628,14.069,1.7598,0.562,0.6834,0.803,0.5283
0.4796,14.022,1.5668,0.641,0.7277,0.776,0.4743
0.5029,18.315,1.8544,1.012,0.8938,0.6528,0.2375
0.4634,16.7,1.6844,0.888,0.8528,0.7319,0.2192
0.4681,18.636,1.5422,0.727,0.7396,0.7228,0.369
0.4599,16.311,1.6647,1.059,0.9251,0.7673,0.1735
0.4919,14.937,1.6793,0.412,0.6181,0.7398,1.1285
0.4754,15.4,1.8433,0.382,0.6166,0.8295,1.0229
0.4989,16.965,1.732,0.518,0.657,0.7342,0.8784
0.4897,16.856,1.7982,0.617,0.7245,0.6737,0.4651
0.4748,18.461,1.5123,0.923,0.8504,0.6178,0.207
0.5049,16.028,1.7718,0.418,0.6296,0.7033,1.1527
0.5074,15.749,1.8099,0.903,0.83,0.6741,0.3289
0.4955,18.71,1.712,0.748,0.7784,0.665,0.3673
0.4705,14.597,1.6311,0.836,0.7871,0.8243,0.3446
0.4735,16.096,1.5072,1.022,0.8738,0.727,0.2207
0.4512,17.268,1.8096,0.929,0.8322,0.611,0.1769
0.5049,17.966,1.6267,0.75,0.7541,0.774,0.5301
0.4702,16.575,1.5523,0.571,0.7066,0.7992,0.4973
0.5053,16.522,1.6857,0.989,0.8898,0.6982,0.2634
0.4988,17.14,1.832,0.791,0.7745,0.6592,0.3831
0.5025,18.99,1.6403,0.747,0.7888,0.7997,0.4492
0.4963,16.695,1.613,0.841,0.7931,0.819,0.4252
0.4766,14.426,1.76,0.478,0.665,0.7762,0.6707
0.4836,15.527,1.7978,0.541,0.6685,0.6098,0.5581
0.4763,17.738,1.7011,0.633,0.7168,0.6753,0.4236
0.4794,15.861,1.7647,0.834,0.7937,0.7382,0.326
0.4977,16.412,1.7389,0.823,0.8064,0.6884,0.341
0.4843,17.57,1.6742,0.99,0.8916,0.6331,0.1981
0.4867,14.348,1.7356,0.872,0.8159,0.627,0.2691
0.4932,16.586,1.8632,1.039,0.8921,0.6478,0.2184
0.4638,15.121,1.7652,0.351,0.6027,0.8417,1.0038
0.4937,17.828,1.5636,0.722,0.755,0.7824,0.4772
0.4945,17.62,1.8715,0.476,0.6346,0.6169,0.8395
0.4596,14.032,1.6148,0.963,0.8811,0.7269,0.1901
0.4983,16.333,1.6929,0.596,0.69,0.6212,0.5812
0.4937,16.404,1.765,0.422,0.6228,0.6073,0.9092
0.4716,18.628,1.8316,0.673,0.732,0.6937,0.3817
0.4836,15.349,1.83,0.803,0.8015,0.8012,0.3557
0.5095,15.168,1.6638,0.928,0.8335,0.7254,0.3552
0.4664,14.959,1.6293,0.41,0.6048,0.8235,0.999
0.4965,17.437,1.7533,0.447,0.635,0.7267,1.0109
0.4621,18.773,1.5514,0.672,0.7356,0.6138,0.3011
0.4803,15.946,1.5043,0.97,0.8574,0.8239,0.2824
0.4861,15.618,1.8355,0.596,0.7139,0.8101,0.5721
0.494,14.535,1.7019,0.828,0.8114,0.8067,0.3776
0.5026,16.89,1.6504,0.573,0.6721,0.6752,0.7525
0.4699,14.345,1.8763,0.991,0.8608,0.6178,0.1905
0.4698,14.523,1.745,0.418,0.6262,0.7198,0.7627
0.5099,17.049,1.7904,0.675,0.7459,0.6457,0.4864
0.4996,16.681,1.6797,0.669,0.7244,0.6663,0.5105
0.4512,14.822,1.8216,0.854,0.8167,0.8247,0.2537
0.4743,14.413,1.5618,1.099,0.8954,0.7446,0.2107
0.4677,17.702,1.5571,0.361,0.6073,0.8085,0.9757
0.4958,17.786,1.8941,0.815,0.7856,0.6002,0.3215
0.4811,16.356,1.7294,0.804,0.8159,0.7474,0.3047
0.4915,17.359,1.7917,1.074,0.9068,0.6327,0.1994
0.462,15.242,1.5858,1.008,0.8962,0.6034,0.1528
0.5024,18.237,1.5038,0.922,0.8464,0.7677,0.3344
0.4981,17.864,1.5948,0.644,0.7343,0.6314,0.4499
0.4758,17.51,1.7884,0.656,0.7117,0.769,0.4931
0.5073,18.839,1.6912,0.495,0.6728,0.8024,0.9408
0.4807,15.936,1.6005,0.68,0.7398,0.7682,0.4451
0.5008,17.902,1.6832,0.368,0.6162,0.7958,1.4064
0.4537,18.39,1.7231,0.403,0.6202,0.7415,0.6707
0.4906,16.196,1.7442,0.978,0.8892,0.7871,0.2622
0.4659,16.514,1.818,0.847,0.8354,0.829,0.2716
0.4529,16.687,1.8363,0.373,0.6062,0.7905,0.7907
0.5045,16.28,1.6378,0.622,0.7047,0.7252,0.6597
0.4901,16.933,1.5672,0.422,0.6302,0.7129,0.9502
0.4596,15.148,1.547,0.855,0.8006,0.7735,0.2751
0.4878,18.104,1.6126,0.662,0.7167,0.8465,0.5988
0.5082,18.341,1.5709,0.42,0.6315,0.7109,1.1988
0.46,17.799,1.6355,1.037,0.8872,0.693,0.1779
0.4927,16.701,1.8405,0.617,0.7012,0.6032,0.4937
0.4916,18.022,1.6115,0.451,0.6307,0.6897,0.9335
0.4531,16.542,1.5932,0.937,0.87,0.7998,0.2052
0.4965,18.8,1.5151,1.06,0.8847,0.6389,0.2276
0.4656,14.555,1.6788,1.03,0.9025,0.7401,0.1895
0.4824,16.052,1.8733,0.408,0.6017,0.6256,0.9785
0.4884,15.698,1.7832,0.406,0.6052,0.7612,1.2535
0.5081,15.631,1.6198,0.68,0.7293,0.7996,0.65
0.4749,14.492,1.8827,0.368,0.596,0.6443,0.9567
0.501,17.15,1.8382,0.676,0.7562,0.7476,0.4872
0.4516,17.708,1.7701,0.901,0.8429,0.7452,0.2081
0.4765,14.715,1.8046,1.016,0.879,0.6293,0.1924
0.4892,16.825,1.8435,0.662,0.7173,0.7723,0.5529
0.4637,18.199,1.86,0.509,0.6684,0.7028,0.512
0.481,16.195,1.5314,0.592,0.713,0.6677,0.4491
0.4681,15.729,1.7484,0.881,0.8062,0.7455,0.2804
0.4606,17.783,1.7442,0.826,0.7967,0.8131,0.2968
0.4759,18.221,1.6936,0.634,0.737,0.6628,0.3712
0.4866,18.783,1.5276,0.452,0.6483,0.7642,0.8401
0.4977,16.011,1.8133,0.486,0.6621,0.6962,0.7884
0.4549,14.285,1.6674,0.695,0.737,0.8056,0.3649
0.4987,18.15,1.5197,0.375,0.6037,0.7617,1.4901
0.4711,18.932,1.5354,0.978,0.8477,0.8356,0.2736
0.4563,15.583,1.6601,0.967,0.8504,0.6985,0.198
0.4699,15.728,1.8231,0.908,0.8221,0.6326,0.2267
