Phi(固含量),d50(中位径_um),sigma(几何标准差),Emix(混合功_J),Temp(温度_C),Tau0(屈服应力_Pa)
0.6191,22.3501,1.4432,25091705.6295,50.1087,18.6401
0.641,23.1799,1.5519,23890003.2359,50.2928,22.0481
0.6745,22.6575,1.529,4358296.4814,48.413,165.9988
0.6712,28.4983,1.5131,4383069.4258,49.76,92.6752
0.6134,23.493,1.4961,24315271.4526,50.0426,12.5555
0.6206,22.656,1.4361,24950659.8927,50.1118,19.2636
0.6444,21.9086,1.5043,4417547.9488,48.0182,38.9752
0.6144,23.0421,1.411,25609134.456,50.0663,17.1557
0.6709,22.1097,1.4393,4252375.2425,49.0719,371.7759
0.6234,25.6228,1.4278,25347237.7992,50.3336,16.5878
0.6574,23.012,1.5209,4452692.0465,47.8221,54.648
0.6432,25.2696,1.5972,24695023.656,50.0682,16.8018
0.6765,26.1352,1.5526,4342354.4734,49.0868,120.4128
0.6636,23.6374,1.4475,4449529.2743,49.359,125.3319
0.6326,27.8428,1.4845,24712267.8878,50.5847,15.1089
0.6506,27.8865,1.4376,4527325.0087,47.8182,42.3941
0.6744,29.3759,1.4185,4639758.9643,47.0912,2359.4954
0.6648,28.666,1.4347,4588115.3669,47.7703,101.8111
0.6432,29.7732,1.5322,23858332.3616,50.3425,15.2493
0.6211,29.7794,1.5721,24641831.9034,50.6116,7.5147
0.6506,20.9817,1.5966,24520307.7123,50.3854,30.4598
0.6016,20.806,1.5428,23723182.4402,50.9288,10.8254
0.6416,26.8289,1.5283,24734179.5502,50.2224,17.9513
0.6086,26.094,1.5019,24773117.2701,50.7098,9.0602
0.6812,21.926,1.5021,4406568.9989,47.4171,1324.3931
0.6041,23.302,1.4466,23168781.8011,50.6753,12.2248
0.6339,26.5703,1.4366,25333717.4922,50.8823,20.1169
0.612,29.5741,1.461,25271383.7969,50.6856,8.6042
0.6025,24.3909,1.5418,23640790.0698,50.6045,8.0152
0.6462,25.5936,1.5721,4399695.9349,47.2028,22.3376
0.6196,20.124,1.5924,25300253.0379,50.1247,14.6911
0.6052,26.465,1.5789,25989809.5736,50.2828,6.3313
0.6766,22.3074,1.5868,4415783.7575,47.7084,117.7622
0.6812,29.1055,1.5658,4416677.3004,47.8716,140.12
0.631,25.2127,1.4742,23223972.114,50.2997,18.3728
0.6042,24.4583,1.4162,25325449.4992,50.503,11.9627
0.668,29.0045,1.4704,4225173.4975,49.5637,100.4911
0.6809,25.2696,1.5972,4386228.4611,49.719,127.991
0.6689,22.4065,1.4906,4364292.4852,48.1268,145.4095
0.6,20.1878,1.4774,24394363.7606,50.4528,13.3788
0.6028,24.5909,1.5499,25235431.0702,50.2904,7.6314
0.6057,22.3298,1.5173,23641018.8142,50.3743,11.0428
0.6486,28.5984,1.5831,24497000.1947,50.431,16.2226
0.6484,22.2377,1.5076,4339936.3984,47.6814,42.9365
0.6611,20.2807,1.5657,4520179.6842,47.6056,65.3856
0.6557,21.8373,1.5635,24039610.253,50.4607,37.4453
0.672,21.2838,1.5408,4675694.931,48.4703,133.8401
0.6711,20.5187,1.4102,4527387.1525,48.462,866.751
0.6708,23.3031,1.4448,4674537.1221,47.9516,281.652
0.676,27.7654,1.4855,4358310.1812,47.5656,245.9206
0.6841,25.4547,1.5871,4285351.0646,47.6174,205.219
0.6705,25.6228,1.4278,4579487.7184,48.7677,305.6169
0.6177,26.4796,1.4817,24334385.9239,50.944,11.6894
0.6591,22.716,1.4654,4405791.5227,49.1393,87.4407
0.6201,23.5681,1.4942,24462957.7358,50.848,14.9954
0.6049,24.173,1.4112,24175545.2655,50.3658,12.7158
0.6667,20.9377,1.5535,4120376.355,47.0769,87.3698
0.6185,24.2429,1.4117,23684382.1559,50.8224,17.6796
0.6761,21.4482,1.481,4407622.6952,49.1569,482.7263
0.6681,24.4778,1.5996,4661024.7874,47.3904,51.7886
0.6279,23.0174,1.4261,24072774.3096,50.1065,23.4252
0.6498,29.7475,1.5602,4345314.4713,47.5992,19.9204
0.6517,28.0661,1.582,4517622.6245,49.6856,22.7977
0.658,28.5251,1.439,4449397.5531,47.5267,59.3276
0.6546,27.3188,1.5474,4355915.9459,49.9711,31.7418
0.659,29.7797,1.4937,4274756.4474,47.9504,41.486
0.649,27.6586,1.4134,4362951.4309,49.2216,47.2571
0.6629,21.2545,1.4773,4545462.9942,47.0909,110.8741
0.6605,27.4812,1.4847,4228282.4221,47.1954,54.9009
0.6785,25.7524,1.537,4471339.9356,48.2247,184.6434
0.6772,24.7449,1.4671,4511399.3193,49.8795,760.5588
0.6721,20.702,1.4927,4260955.1535,49.2925,235.5535
0.6334,20.6073,1.5652,25369874.0719,50.2168,21.5159
0.6179,27.5401,1.5932,25459105.5999,50.1887,7.5112
0.6249,21.8956,1.5725,23973890.993,50.5851,15.2574
0.6268,27.1928,1.5614,25515127.3441,50.7782,10.6808
0.6382,26.3528,1.48,4297058.5334,49.6458,25.0595
0.6155,26.5158,1.4314,24405156.9426,50.4929,12.7599
0.6656,26.1419,1.4951,4321734.5502,47.8315,79.0129
0.6697,23.6356,1.5924,4227730.9784,47.8089,64.5147
0.6752,28.6099,1.4448,4449695.2695,49.2734,619.7529
0.6492,22.9762,1.4854,4220159.7118,48.5211,47.0553
0.6572,28.8795,1.4796,4455857.4203,48.5168,44.0355
0.6788,26.3645,1.542,4295682.3977,49.8693,179.2761
0.6707,28.6542,1.5604,4263394.278,47.5547,57.0867
0.627,27.863,1.4352,25806795.9224,50.8555,15.1762
0.667,29.3215,1.5854,4805392.9497,47.27,36.9072
0.635,22.9513,1.5806,24837160.3987,50.8851,17.5279
0.6005,22.6667,1.4176,23595394.2433,50.4595,12.9021
0.6113,27.5897,1.5918,24017195.3271,50.9525,6.5963
0.6563,28.3006,1.476,4447062.2212,49.5806,45.7182
0.6504,26.7674,1.5302,4556242.898,48.6747,29.3294
0.6227,28.7851,1.5429,24883608.4971,50.306,9.0633
0.6804,23.9631,1.523,4448468.1251,49.7922,400.5695
0.6468,25.1152,1.5351,24650940.4826,50.0567,23.2606
0.6479,21.0978,1.4443,24626072.4484,50.7494,47.8434
0.672,21.525,1.5548,4575729.1517,48.9324,118.3202
0.6074,29.5214,1.5187,24254114.2681,50.7818,6.5655
0.6445,26.634,1.5126,4536052.1849,48.7984,25.8812
0.6319,22.4418,1.5612,4356744.6521,47.8391,19.8738
0.6571,25.3222,1.4873,4273520.8423,48.1072,54.1869
0.6153,26.4311,1.5327,25303994.295,50.9052,9.4001
0.6085,20.5054,1.4242,24645529.5697,50.1287,18.2697
0.6068,20.1913,1.5115,24510505.7889,50.9621,14.1879
0.674,28.8808,1.4355,4392216.5072,49.4824,548.0372
0.6862,20.5698,1.5723,4507913.7508,48.9714,672.4838
0.6194,29.7475,1.5602,25023040.2478,50.0076,7.3727
0.6674,29.5418,1.4234,4387315.3543,48.029,149.3857
0.6263,21.1255,1.4566,4567556.7462,49.3985,29.2602
0.672,20.3529,1.5413,4576779.4669,47.7495,143.8803
0.6361,20.0773,1.553,23764895.2073,50.3908,25.6926
0.6253,22.1866,1.4057,24490103.0028,50.9898,25.4987
0.621,27.9545,1.523,25682693.0806,50.7481,9.8645
0.6236,24.747,1.5512,24159032.0432,50.8374,12.4159
0.6437,24.0786,1.577,4166692.5529,49.3297,24.0487
0.6218,26.7493,1.4056,25751496.1332,50.2676,15.5759
0.6719,24.4595,1.521,4468851.5976,48.2319,119.2425
0.6283,29.1042,1.5398,25515594.531,50.3182,10.2495
0.6081,22.716,1.4654,24596092.1374,50.2189,13.0701
0.6543,26.3508,1.5624,24453963.0149,50.2343,24.3967
0.6334,27.0718,1.4881,4314033.7478,48.9129,19.3712
0.677,20.6234,1.5976,4337856.7449,49.6125,136.1006
0.6472,25.3698,1.4912,23836888.4773,50.8377,27.5937
0.647,22.1334,1.4993,24360493.5779,50.188,34.3406
0.687,21.7207,1.5922,4597473.9075,48.0011,429.9377
0.6005,26.7878,1.4804,24293168.8307,50.2392,7.5817
0.6639,22.9513,1.5806,4510839.2947,48.7706,55.3325
0.6453,26.2069,1.4081,4360389.4682,49.3082,45.5279
0.6161,20.4139,1.5261,24197874.3597,50.5967,16.3745
0.6541,20.806,1.5428,4280446.8795,49.6808,54.367
0.67,22.1866,1.4057,4375708.4715,47.6971,620.7744
0.617,29.1066,1.4974,25542117.2865,50.0425,8.8066
0.6644,29.1494,1.5482,4106908.8101,49.7697,43.5234
0.6548,23.8869,1.4562,4460273.4108,48.2018,64.4326
0.6708,26.3384,1.5231,4395843.7209,47.661,91.4033
0.6482,29.7522,1.5214,24683834.856,50.3543,18.2652
0.6705,29.3063,1.5374,4644157.004,47.3511,63.1627
0.6502,21.6668,1.4219,4426824.9029,49.8827,78.7225
0.6586,26.8956,1.556,4425253.8587,48.9577,36.1114
0.6756,25.3022,1.4348,4672975.5252,48.449,1950.4536
0.6829,27.9545,1.523,4543983.5909,47.2208,618.2456
0.6296,29.9813,1.5286,24130344.7023,50.9679,10.6034
0.6606,23.9955,1.5068,4641549.1283,49.5766,66.0944
0.6306,29.0156,1.526,25027090.5838,50.8267,11.6122
0.6081,26.1176,1.5202,24329025.926,50.7647,8.4888
0.6429,24.7533,1.5122,4538768.4736,47.1068,27.3147
0.6008,27.2909,1.5888,24487486.5701,50.4863,5.2862
0.6857,24.2339,1.5512,4295866.7057,47.8999,948.4696
0.6134,20.2807,1.5657,25064439.5905,50.1962,13.6056
0.6342,22.1717,1.4142,23753950.9186,50.394,31.5446
0.6212,22.7548,1.5883,24081231.7603,50.5431,12.2839
0.6035,26.2061,1.4313,25039119.1091,50.6281,9.851
0.6605,25.2127,1.4742,4299773.6536,47.0684,69.689
0.6552,25.8846,1.407,4509896.5254,49.594,78.9651
0.6407,23.7509,1.5939,25020934.4426,50.6181,18.0922
0.6783,24.7222,1.4753,4163859.7601,48.4346,939.2805
0.6719,23.6077,1.4703,4183460.2761,48.5273,233.2396
0.614,21.6352,1.5663,25231223.3691,50.2297,12.091
0.6588,27.9131,1.4972,4350237.173,47.0286,44.6358
0.6541,29.5285,1.5958,4489884.2816,47.8764,20.2667
0.615,22.8628,1.4906,24516005.3346,50.1037,14.0077
0.6731,25.0045,1.5818,4505041.8414,47.1856,74.2451
0.6199,29.5638,1.4664,25175861.7379,50.2031,10.1178
0.6157,22.1801,1.5774,24229675.8723,50.0254,11.5828
0.6168,28.3573,1.546,24379054.3837,50.0915,8.0169
0.6322,27.9264,1.5209,4276205.4,48.7906,15.4184
0.6507,21.619,1.422,4366227.7389,48.9331,79.4227
0.6117,20.9377,1.5535,24497834.6776,50.4472,12.8544
0.6297,27.3402,1.4461,25764504.6345,50.8295,16.3509
0.6167,28.2353,1.5383,25846833.1345,50.7898,8.3273
0.628,29.3634,1.5412,25278796.4652,50.9725,10.1148
0.6361,26.9123,1.4589,24499290.2978,50.7074,19.4382
0.673,28.265,1.4145,4360689.1696,48.4088,980.361
0.6523,28.2519,1.5941,4599510.7785,49.1762,21.5355
0.6039,24.1779,1.4941,25151159.7816,50.1036,9.5615
0.6464,28.0226,1.4363,4148883.6135,48.89,36.1178
0.6058,25.4309,1.4321,22893638.4759,50.0541,11.0292
0.6724,29.5214,1.5187,4513032.7583,49.6674,89.8606
0.6124,22.8267,1.4581,24031298.1545,50.7761,14.8729
0.6047,29.8882,1.4943,25159575.3261,50.7011,6.4414
0.6339,28.1991,1.5474,22970863.0092,50.4492,12.5855
0.6294,20.7096,1.5553,25832914.9231,50.8526,20.0129
0.6223,27.701,1.4271,25224816.4314,50.8549,14.0051
0.6196,25.0442,1.4379,24609245.7244,50.1896,15.3476
0.6727,21.238,1.4769,4498898.937,49.3122,289.0883
0.6571,24.747,1.5512,4400123.5721,49.8509,41.9846
0.6835,21.5821,1.5974,4405027.4343,47.2662,222.3179
0.616,26.8956,1.556,25101437.1194,50.5338,8.5258
0.6546,26.465,1.5789,4638808.625,49.6916,28.8777
0.6702,21.7914,1.5377,4451865.483,49.7058,118.3145
0.6029,27.0718,1.4881,24862146.5762,50.6745,7.7029
0.6153,28.0416,1.4896,24245948.8621,50.4365,9.4896
0.6509,22.4976,1.5553,24508310.3524,50.8626,31.2609
0.6097,21.6668,1.4219,25203790.5132,50.7976,17.1591
0.6828,27.8285,1.525,4410747.536,48.3499,602.2488
0.6722,24.7703,1.4947,4505551.3597,47.2308,152.8063
0.6391,21.7144,1.5575,4413328.3458,47.778,26.6154
0.6372,25.784,1.4423,4447779.7394,48.2982,28.6504
0.6079,21.7484,1.4509,24809680.1383,50.9749,15.0544
0.6295,23.8929,1.5617,24068257.6796,50.8112,14.944
0.6093,22.5712,1.5073,24733092.9596,50.6849,12.1064
0.6112,21.1193,1.4503,25893852.3048,50.6305,17.0017
0.6221,20.3605,1.5879,24330520.4077,50.3431,15.5821
0.673,29.3525,1.4678,4612700.7348,48.5827,176.6379
0.6666,20.6073,1.5652,4427515.5078,47.5944,83.8764
0.6043,25.8366,1.5942,25173135.1459,50.0291,6.1869
0.6811,23.1799,1.5519,4339157.1343,49.5849,279.4306
0.6179,21.1749,1.5579,23498571.61,50.5954,14.4725
0.6789,22.4232,1.5196,4539989.9272,48.4752,343.6134
0.6621,27.0767,1.5844,4497153.8951,47.8506,35.0645
0.6764,20.6354,1.4744,4117966.7255,47.8431,663.1861
0.6308,29.6884,1.5147,24996302.8377,50.8135,11.5458
0.6481,22.7214,1.4704,24183833.186,50.3164,37.6041
0.6355,20.2187,1.5088,25741604.9453,50.7639,28.5521
0.6349,28.6099,1.4448,24870817.9598,50.0695,17.1163
0.6048,27.5743,1.5553,25078660.6668,50.2495,6.2463
0.6332,20.7201,1.4323,4661794.227,48.465,40.462
0.6124,28.5514,1.5214,24130755.2026,50.6188,7.7968
0.6762,29.4261,1.463,4371547.8226,49.8352,447.6806
0.6775,22.9306,1.5921,4505770.1393,47.8512,114.1875
0.6638,21.218,1.4444,4508550.367,48.3672,158.2065
0.6671,26.4796,1.4817,4282554.2002,48.3143,97.5233
0.624,28.478,1.4405,23705123.9767,50.643,13.3976
0.6534,28.0786,1.4823,4528005.7837,49.3875,38.7407
0.6625,25.1217,1.485,4176085.7609,47.6294,75.019
0.6359,27.5087,1.5902,23967433.4952,50.7475,12.135
0.6091,25.5936,1.5721,25673701.0217,50.0987,7.5394
0.6013,20.0233,1.5418,24395063.3914,50.2516,11.453
0.6273,27.2202,1.5655,4458524.1515,47.4578,11.621
0.6683,29.5242,1.4471,4162561.37,49.012,128.5342
0.674,26.7385,1.5656,4481592.8212,49.2642,82.5363
0.6656,22.7401,1.4584,4344159.41,49.8928,147.7525
0.6681,20.8445,1.4258,4652142.4392,48.0798,314.5757
0.6413,20.5996,1.4435,24822645.5547,50.0301,39.9596
0.6476,26.1776,1.4744,4362808.85,49.8455,36.7537
0.6019,22.2377,1.5076,24858611.7071,50.9862,10.5849
0.6126,26.341,1.5027,24165315.1572,50.1792,9.6591
0.6069,29.7377,1.4347,23734417.1197,50.05,8.1561
0.6443,28.4007,1.5884,4337154.3779,49.9224,17.0087
0.667,20.3605,1.5879,4615660.0907,49.6463,79.7897
0.6451,25.6724,1.579,4610777.5362,48.8119,21.5672
0.6631,24.1779,1.4941,4425214.4176,48.7752,80.2073
0.6407,23.7205,1.4802,4335667.3427,49.0308,33.1216
0.6743,25.5094,1.5301,4375093.1108,48.1916,126.1911
0.6738,26.1544,1.4662,4244535.5362,48.5718,271.8719
0.6512,24.2545,1.4046,4582903.8792,49.805,72.7843
0.6603,25.2784,1.5234,4303692.1598,47.6316,51.2917
0.6219,27.3888,1.4507,25789248.3922,50.1288,12.9243
0.6422,22.4833,1.5827,25087270.2456,50.4605,21.7375
0.6499,29.7794,1.5721,4363720.1318,49.4274,19.7092
0.6568,23.302,1.4466,4132740.5089,48.8484,82.2185
0.62,20.5019,1.4256,23659888.5256,50.6374,24.4721
0.6121,29.5285,1.5958,24534792.9354,50.474,5.7202
0.6695,22.8762,1.4297,4678839.9261,49.2561,308.4727
0.6523,21.1699,1.5557,4508780.7561,49.5561,45.9318
0.6167,28.3897,1.5754,25274089.8871,50.0622,7.2401
0.6371,24.37,1.5861,24478410.0176,50.4344,16.005
0.6419,29.6076,1.5557,4417906.5314,48.1541,15.8762
0.6624,22.1273,1.4988,4547453.5397,47.5065,86.237
0.6474,24.8049,1.5795,4386125.7765,48.5583,24.7533
0.6012,25.2997,1.4732,24438492.3583,50.285,8.8169
0.6745,24.389,1.54,4280334.9839,49.763,131.9254
0.6636,28.2324,1.5692,4244451.4799,47.5018,37.3418
0.6359,25.4309,1.4321,4541170.4978,47.0248,28.438
0.6063,24.4867,1.5611,24707217.4714,50.3205,8.0771
0.667,20.7796,1.4386,4463279.4216,47.567,233.2326
0.6401,22.4613,1.5942,24823500.2108,50.6633,19.9476
0.6803,22.6162,1.5714,4286994.7346,49.531,199.2718
0.6087,21.2118,1.4237,24601919.7841,50.7074,17.4051
0.6306,28.8795,1.4796,25499262.3826,50.1213,13.2969
0.611,25.2784,1.5234,24276532.8978,50.7683,9.5911
0.6796,22.3833,1.5587,4515229.9735,47.3649,207.2057
0.607,22.263,1.4249,25653335.0028,50.8786,15.1084
0.644,22.9617,1.4429,4614566.219,47.0811,44.7964
0.6257,25.9313,1.4397,24182518.2612,50.6561,16.8405
0.6485,21.8298,1.5293,4425866.1061,47.7672,40.4276
0.6293,20.1096,1.527,4585146.2809,47.0504,25.6104
0.6623,20.2187,1.5088,4721782.1882,47.3658,95.9391
0.6243,22.1877,1.5676,23332047.5312,50.9952,15.0712
0.6056,29.234,1.5192,24038472.1865,50.4573,6.3835
0.6236,29.2278,1.5343,24838485.4237,50.4849,9.284
0.6855,28.1991,1.5474,4271808.9598,49.6731,849.7104
0.6004,27.9264,1.5209,24490714.0685,50.7558,6.2134
0.6721,24.3551,1.4185,4503941.1145,48.0153,649.1599
0.6351,22.3331,1.4764,24635780.6916,50.0021,25.5203
0.6093,23.7252,1.5501,24618336.8637,50.2545,9.5065
0.6138,26.5773,1.4585,24226312.9973,50.2541,11.1696
0.6449,24.3576,1.562,4389163.7467,47.6197,24.8914
0.6712,24.173,1.4112,4560249.4069,48.8671,627.0972
0.6634,20.4139,1.5261,4640618.9311,49.2445,93.9789
0.6825,28.3636,1.5019,4386023.7218,48.6283,4228.3848
0.6833,26.3508,1.5624,4339225.0888,48.0797,256.4558
0.612,27.3188,1.5474,24708546.9388,50.477,7.7317
0.6707,26.3939,1.5536,4339155.7003,47.446,70.7114
0.6726,24.6279,1.4692,4618281.4534,49.4386,235.9132
0.63,20.4376,1.4909,24343500.6985,50.1275,25.4649
0.6478,29.3759,1.4185,24139667.2631,50.6254,27.1994
0.6119,26.3384,1.5231,24543802.4092,50.9122,9.0413
0.6797,20.9817,1.5966,4307598.1154,49.9342,166.6863
0.6057,25.812,1.4887,25529853.5429,50.0025,8.8382
0.6813,25.0297,1.4919,4540414.9276,49.7699,2743.5918
0.6041,21.1645,1.4852,24230169.9485,50.9159,13.1677
0.606,23.7205,1.4802,24073466.5988,50.5343,11.0255
0.6083,21.2248,1.4433,25654485.5807,50.5719,16.0664
0.6034,20.0955,1.4581,23658809.6209,50.9503,15.6672
0.6278,29.4261,1.463,24006151.1745,50.9214,12.9259
0.6005,27.9814,1.5697,24487494.9017,50.4593,5.2958
0.6374,21.926,1.5021,24481452.7445,50.425,26.1826
0.6477,21.0286,1.5353,23910956.4635,50.7125,34.7962
0.605,21.4268,1.4321,24016725.917,50.8861,15.423
0.6492,23.4255,1.4036,4244021.7366,48.2257,68.8926
0.651,20.3468,1.4313,4539012.5159,48.4449,84.9387
0.6401,23.3801,1.4593,4546012.9169,48.1036,35.6038
0.6047,23.3048,1.4146,26127933.3925,50.1577,13.2087
0.6793,25.1411,1.5427,4494706.8098,48.5725,199.6711
0.6499,26.3645,1.542,23947468.0108,50.6422,23.0986
0.6604,25.2601,1.4884,4342213.9636,48.037,64.375
0.6726,28.5716,1.5683,4615113.3256,49.7527,64.3965
0.6362,26.2061,1.4313,4348275.3807,49.465,28.8442
0.6579,23.3505,1.5878,4568540.9359,49.3137,40.1183
0.6292,21.7207,1.5922,25086058.801,50.3264,16.0404
0.6319,24.0241,1.5159,23752758.8211,50.5285,18.1237
0.6705,28.3573,1.546,4464066.4505,48.0058,64.1723
0.6646,26.5795,1.5031,4468500.5533,49.2369,69.1932
0.6255,24.0433,1.5143,24784132.6599,50.7576,15.3802
0.6724,22.4613,1.5942,4301097.5603,49.1138,84.9021
0.6402,25.0045,1.5818,24271524.2224,50.4983,16.8289
0.6787,21.7504,1.4787,4367172.7704,49.8905,1274.6499
0.63,23.6374,1.4475,25134583.8417,50.0048,21.6725
0.6437,21.525,1.5548,24505610.3373,50.9241,27.6162
0.6653,26.817,1.5838,4238057.7439,47.6242,41.6886
0.6488,26.3403,1.5151,25088759.5596,50.1494,24.0297
0.6223,21.9527,1.4548,25284055.932,50.6134,20.3627
0.6745,26.9123,1.4589,4347718.7446,48.3008,343.7271
0.6303,23.1431,1.5911,4481283.3384,47.7735,15.9748
0.6712,25.7294,1.4338,4465755.6098,49.1797,313.5655
0.651,22.7548,1.5883,4599681.3226,48.8925,32.3175
0.6087,24.2484,1.4958,25019315.4388,50.4775,10.6466
0.6087,26.9563,1.4839,25746894.8267,50.8627,8.949
0.6756,20.5137,1.4693,4298755.6589,49.0374,625.158
0.6277,25.8846,1.407,25167695.2103,50.2931,19.4401
0.6573,25.4392,1.5161,24994286.1152,50.433,34.5278
0.6619,27.1266,1.4906,4414715.2019,47.001,58.5151
0.6498,21.4431,1.508,4316023.8646,47.0956,47.999
0.6629,28.478,1.4405,4213113.5883,48.0123,85.3578
0.646,29.5341,1.5326,4505279.5757,47.6522,19.8609
0.6779,21.5561,1.5561,4267333.3084,47.5256,191.5497
0.6401,20.7391,1.4857,24503728.0191,50.806,33.6555
0.6031,23.9535,1.4262,25070284.2397,50.8648,11.9335
0.6487,21.1193,1.4503,4466397.6814,48.4216,64.2817
0.6453,21.5821,1.5974,24611064.9021,50.2146,24.5268
0.6428,23.8413,1.4383,4459255.4295,47.5276,41.0945
0.6512,25.9731,1.5412,4524625.9955,47.476,29.7398
0.6478,22.9961,1.4226,4386437.164,48.5298,60.3383
0.6157,20.6895,1.5318,24363572.7371,50.3121,15.4274
0.6251,22.9656,1.5226,24851543.2698,50.0801,16.0229
0.6571,20.5019,1.4256,4323845.9032,48.7363,123.0355
0.6795,27.9534,1.5758,4405562.7617,49.9067,114.3123
0.6398,28.2914,1.407,4425118.7112,49.8095,31.6171
0.6698,26.7734,1.5127,4328250.5345,49.6271,93.6189
0.65,24.2484,1.4958,4521261.7749,48.4976,41.2724
0.6601,29.6884,1.5147,4288223.2476,47.7434,38.777
0.6694,28.0979,1.4267,4315769.9479,49.5853,223.2612
0.6263,26.1419,1.4951,23689157.8937,50.0578,14.0301
