d50(中位径_um),sigma(几何标准差),Phi_1(固含量),Phi_m_1(最大堆积),Emix_1(混合功_J),Temp_1(温度_C),Tau0_1(屈服应力_Pa),Phi_83(固含量),Phi_m_83(最大堆积),Emix_83(混合功_J),Temp_83(温度_C),Tau0_83(屈服应力_Pa),Phi_2(固含量),Phi_m_2(最大堆积),Emix_2(混合功_J),Temp_2(温度_C),Tau0_2(屈服应力_Pa)
22.9038,1.5579,0.6689,0.6881,4384880.2453,49.7334,85.031,0.6645,0.6946,17815415.0122,52.8266,55.2971,0.6645,0.6977,24782379.9945,50.5385,47.5939
21.7227,1.4806,0.6494,0.6805,4105328.0174,49.2149,55.3397,0.6443,0.6876,16732365.0482,52.0226,39.8456,0.6443,0.6912,23766867.7771,50.9239,35.7744
26.3901,1.4076,0.6632,0.6739,4572562.6925,47.4208,134.8119,0.6577,0.6819,17545675.0391,52.1601,62.2993,0.6577,0.6854,23790619.3892,50.0097,51.635
26.182,1.467,0.6677,0.6795,4529394.1142,48.9578,120.5439,0.6621,0.6868,17330200.7222,52.5574,58.7179,0.6621,0.6903,24090921.7066,50.568,49.0618
22.4611,1.5408,0.6732,0.6866,4562041.1937,49.6212,136.4365,0.6681,0.6932,17879500.6111,52.8634,73.371,0.6681,0.6962,24526954.8727,50.652,62.2315
23.0233,1.4087,0.6516,0.674,4672433.315,49.2532,79.1548,0.6469,0.682,17594290.8846,52.5036,51.4887,0.6469,0.6858,24317863.3926,50.0975,43.8955
22.1121,1.5338,0.6596,0.6858,4393047.4235,49.8694,64.3497,0.6554,0.6923,17173714.7372,52.2847,45.837,0.6554,0.6958,24668500.5663,50.981,40.5668
22.3425,1.5087,0.6562,0.6834,4459454.3305,47.9725,58.749,0.6526,0.6907,18226141.5583,52.7182,44.6817,0.6526,0.6943,25872169.2575,50.3422,38.5624
29.9267,1.512,0.6657,0.6836,4225749.508,47.558,53.5511,0.661,0.6901,16410077.6616,52.7501,35.1102,0.661,0.6935,23510939.9241,50.3843,29.7129
23.0625,1.5034,0.6689,0.683,4571276.4147,47.4645,119.3004,0.6645,0.6906,18822028.1267,52.7462,69.0716,0.6645,0.6941,26282651.9003,50.7839,57.9856
22.7148,1.5707,0.6619,0.6894,4429902.9849,48.9725,54.4677,0.6575,0.696,18554628.3457,52.5635,39.8264,0.6575,0.6991,25737748.7766,50.9517,35.5048
21.7665,1.5023,0.6681,0.6829,4568775.9991,47.3495,126.9794,0.6645,0.69,17925016.7703,52.9291,79.6913,0.6645,0.6936,25414763.8126,50.5765,66.0521
22.9465,1.5284,0.6712,0.6852,4304200.7456,47.672,118.6027,0.6657,0.6923,18145326.8818,52.4959,65.8837,0.6657,0.6953,24612189.7651,50.7095,56.762
22.5414,1.6304,0.6685,0.6951,4453859.2274,47.6415,53.0443,0.6632,0.7009,18198333.7356,52.3852,39.1627,0.6632,0.7034,25010963.7951,50.4183,35.0029
21.8663,1.51,0.6619,0.6836,4485589.1257,48.6713,82.478,0.6575,0.6909,18459173.3919,52.3046,54.9718,0.6575,0.6943,25491343.5124,50.5813,47.9408
21.7867,1.5077,0.6627,0.6833,4414984.997,48.0393,86.9719,0.6591,0.6907,18397276.006,52.89,60.3946,0.6591,0.6945,26281430.5713,50.1796,50.6851
28.0272,1.5745,0.6727,0.6897,4316522.4551,49.1811,63.8648,0.6691,0.696,17803284.0317,52.533,41.5723,0.6691,0.699,24744550.5828,50.4586,35.683
30.5589,1.4835,0.6685,0.681,4309232.3781,48.2362,80.8641,0.6641,0.6881,17275215.8175,52.815,44.0796,0.6641,0.6916,24183475.6129,50.4924,36.4727
30.9468,1.4463,0.6635,0.6776,4627435.9063,48.7217,72.0052,0.6596,0.685,17250087.8581,52.1951,41.1152,0.6596,0.6886,23970061.2861,50.8017,34.7915
24.0749,1.5241,0.673,0.685,4623809.2853,48.5242,132.2955,0.6688,0.692,18160829.0428,52.9582,71.9097,0.6688,0.6949,24500462.2099,50.4363,60.1739
22.9568,1.4664,0.6508,0.6793,4326681.2369,47.2103,53.6441,0.6454,0.6868,17450340.6216,52.9022,39.4533,0.6454,0.6907,25104905.6872,50.137,33.7637
27.9308,1.4998,0.669,0.6827,4713898.9768,47.4809,84.168,0.6636,0.6896,17533763.2971,52.0962,46.5251,0.6636,0.6929,24295128.1301,50.2561,39.4912
20.357,1.5298,0.6699,0.6854,4394883.5679,47.0829,133.4323,0.665,0.6926,18518507.4645,52.3505,79.8003,0.665,0.6956,25115579.8268,50.4578,68.7352
23.4277,1.4919,0.6557,0.6819,4470396.9054,49.648,59.2818,0.65,0.6889,17342908.8646,52.8647,40.1687,0.65,0.6924,24508939.5246,50.1135,34.5266
28.0134,1.406,0.6584,0.6736,4348355.1654,47.8986,81.889,0.6537,0.6817,17369816.3123,52.4635,46.575,0.6537,0.686,25132012.5187,50.3002,38.2119
24.6634,1.5739,0.6736,0.6897,4413587.1537,47.986,85.6065,0.6692,0.6962,18289381.1278,52.9045,53.9724,0.6692,0.6994,25870345.2442,50.0633,45.1917
21.0261,1.5888,0.6688,0.691,4239848.4532,47.7609,79.1078,0.6635,0.6974,18147651.0525,52.1984,53.9049,0.6635,0.7002,24940513.8599,50.8662,48.1907
27.0304,1.4517,0.6546,0.6779,4383871.1218,49.0573,52.4484,0.6491,0.6854,17161142.6003,52.5871,34.2225,0.6491,0.6888,23568650.9961,50.8192,29.9889
22.178,1.4084,0.659,0.6739,4471072.4458,49.5882,138.5834,0.6538,0.6818,17240417.6457,52.9483,74.6399,0.6538,0.6859,24596225.1527,50.2375,61.0049
23.9238,1.4348,0.6511,0.6763,4410972.896,49.4154,62.3301,0.6474,0.684,17255072.0833,52.9924,44.3241,0.6474,0.6881,24743048.4282,50.3302,37.4839
30.935,1.5075,0.6699,0.6832,4220144.8178,47.2396,70.2501,0.6652,0.6901,17163315.7052,52.2904,39.7372,0.6652,0.6935,24144272.8149,50.0049,33.1576
23.4629,1.4444,0.6522,0.6772,4287259.6974,49.526,64.8792,0.6474,0.6849,17436297.9621,52.2887,43.4736,0.6474,0.6885,24204382.6318,50.1044,37.6378
25.9505,1.4096,0.6483,0.6739,4281945.9968,47.4494,50.8165,0.6428,0.6818,17042648.901,52.0703,34.8335,0.6428,0.6859,24296507.9405,50.9482,30.5993
27.5481,1.4,0.6584,0.673,4401753.4812,48.7344,90.5062,0.6542,0.6815,18010921.8998,52.8898,50.2745,0.6542,0.6858,25537031.6213,50.9925,41.5511
24.1964,1.5278,0.6683,0.6852,4375653.2244,49.5606,90.402,0.6639,0.6916,16712980.1788,52.0623,55.6771,0.6639,0.695,23944254.6718,50.9395,48.1966
23.8788,1.539,0.6642,0.6863,4345263.0157,49.7729,67.4765,0.6607,0.6926,16802530.5171,52.0284,47.1504,0.6607,0.6955,23095680.8272,50.5452,41.6898
27.8293,1.4922,0.6606,0.6818,4375864.3505,49.0996,53.6073,0.6567,0.6885,16656726.0172,52.9452,36.9876,0.6567,0.6923,24296086.2966,50.494,31.202
20.2144,1.5658,0.6724,0.6888,4247675.9665,47.3272,123.6405,0.6679,0.6953,17851888.9296,52.8709,79.3145,0.6679,0.6983,24841015.561,50.4589,67.5647
23.0293,1.5625,0.6605,0.6886,4434408.4889,47.4954,50.1403,0.6548,0.6948,17417874.6741,52.5451,36.9711,0.6548,0.6976,23835506.383,50.3632,32.8297
21.9932,1.5465,0.6589,0.687,4402629.4134,48.6448,57.1309,0.6539,0.6941,18669498.8537,52.0361,40.6923,0.6539,0.6973,25879613.8428,50.2595,36.1067
22.3287,1.6329,0.6734,0.6952,4286821.1929,47.6289,68.4419,0.67,0.701,17940662.9939,52.4737,51.7365,0.67,0.7036,25063874.4444,50.9407,45.8967
23.6879,1.426,0.6521,0.6756,4579045.8212,49.9097,70.6173,0.6482,0.6839,18336277.0378,52.2386,46.6807,0.6482,0.6877,25325981.9334,50.3155,40.2582
31.5329,1.5135,0.6707,0.684,4646001.5226,48.1594,68.6685,0.6661,0.691,18073205.9928,52.2117,38.1589,0.6661,0.6945,25325000.4722,50.0247,31.833
20.2685,1.6159,0.6615,0.6937,4490945.9391,49.8996,54.543,0.6579,0.6992,17175455.0771,52.7676,43.3948,0.6579,0.7018,23795904.7668,50.6117,38.8276
28.3891,1.4002,0.6606,0.6731,4514995.8414,49.8184,103.4362,0.6553,0.6811,17211175.236,52.6741,50.5158,0.6553,0.6848,23704617.0308,50.7016,42.1168
25.5277,1.4977,0.6582,0.6824,4554265.0015,49.1745,54.0546,0.6538,0.6896,17867932.4224,52.2633,37.1474,0.6538,0.6933,25375310.1262,50.5392,32.3187
21.9349,1.5769,0.6637,0.69,4452153.3106,48.0345,60.0733,0.66,0.6963,18093771.5366,52.2424,45.6865,0.66,0.6994,25236662.3539,50.2305,40.2207
29.1617,1.4286,0.6555,0.6757,4405720.3073,48.9854,54.5031,0.6504,0.6835,17340934.9744,52.493,33.8821,0.6504,0.6876,24726477.7599,50.9854,29.0861
28.8155,1.4823,0.6676,0.6808,4255700.9781,49.9109,88.8542,0.664,0.6881,17326849.323,52.5712,49.2048,0.664,0.6917,24540259.2163,50.7597,40.9424
26.4212,1.4086,0.6509,0.6738,4380281.0139,47.968,56.6555,0.6471,0.6821,17690980.7119,52.8016,39.4941,0.6471,0.6859,24499916.9921,50.4279,33.6574
21.7603,1.5596,0.6732,0.6882,4316970.4748,48.9311,123.0845,0.6693,0.6946,17518929.116,52.7266,75.5297,0.6693,0.6976,24350255.7128,50.1704,63.6662
24.8543,1.483,0.655,0.6809,4248792.962,47.1508,50.772,0.6503,0.6879,16907211.875,52.7428,37.4819,0.6503,0.6912,23485359.9773,50.1933,32.4493
23.6044,1.4296,0.659,0.6759,4408100.9907,49.2328,103.4562,0.6554,0.6842,18410773.7479,52.6062,62.0098,0.6554,0.6879,25289558.0364,50.3418,52.0577
23.1261,1.5171,0.6647,0.6843,4515736.355,47.6432,80.8177,0.6606,0.6912,17775162.5639,52.2385,54.5719,0.6606,0.6949,25655011.2807,50.9588,47.1166
31.4298,1.4777,0.6734,0.6804,4312223.8442,47.8149,141.6369,0.6696,0.6879,17791477.4971,52.479,57.5371,0.6696,0.6914,24785899.7358,50.8998,46.4192
30.1916,1.4434,0.6621,0.677,4089128.5968,47.2046,68.6975,0.6565,0.6845,16875214.7646,52.3904,38.315,0.6565,0.6881,23570254.9022,50.5542,32.4828
21.737,1.5871,0.6601,0.691,4528805.7025,49.1721,50.6844,0.6559,0.6974,18566099.1451,52.0276,38.1775,0.6559,0.7,24849718.7219,50.7224,34.8055
28.3065,1.5556,0.668,0.6879,4466619.7159,48.5563,52.1786,0.6626,0.6948,18693182.2995,52.967,33.3806,0.6626,0.6977,25211230.3197,50.9398,29.2548
27.105,1.488,0.6721,0.6814,4308848.5837,47.6854,139.639,0.667,0.6885,17323259.9722,52.7787,63.7559,0.667,0.6924,25212592.5513,50.9085,51.5503
26.8178,1.4023,0.6542,0.6731,4264226.9512,49.8687,72.7074,0.6507,0.6813,17217476.9522,52.1125,45.1846,0.6507,0.6854,24483899.5821,50.098,37.8904
21.4001,1.4956,0.6539,0.6822,4555580.466,48.2265,62.1278,0.6485,0.6892,17381944.4536,52.0597,44.3223,0.6485,0.6927,24560451.0593,50.7018,39.4145
22.9256,1.4894,0.6599,0.6815,4303087.7751,47.1666,74.0362,0.6557,0.6884,16815349.3432,52.613,52.6052,0.6557,0.6918,23584423.5612,50.1874,45.0276
25.0857,1.523,0.6663,0.6849,4567531.2019,49.5735,75.9671,0.6619,0.6916,17572471.0356,52.0964,47.7854,0.6619,0.6948,24424829.08,50.4869,41.4599
25.1211,1.481,0.6694,0.6807,4342722.7753,47.4165,130.9581,0.6647,0.6881,17636255.252,52.4717,67.0105,0.6647,0.6914,24230214.5204,50.6679,56.2112
21.4069,1.5754,0.668,0.6898,4319281.2795,48.4342,80.5436,0.6625,0.6962,18006775.9012,52.2232,53.0611,0.6625,0.6991,24881258.7216,50.011,46.3605
24.9902,1.44,0.6497,0.6769,4439545.4031,48.8049,51.2244,0.6457,0.6843,16914595.3523,52.6786,37.3716,0.6457,0.6877,23197943.6134,50.4524,32.5832
20.4341,1.4018,0.6394,0.6733,4626064.7061,49.7045,60.9383,0.6337,0.6819,18434528.7879,52.9813,42.968,0.6337,0.6858,25243391.1032,50.1161,37.2294
21.4119,1.5181,0.6577,0.6844,4549568.9932,49.0033,66.6439,0.6542,0.6915,18164795.5562,52.1477,49.0695,0.6542,0.6948,25165776.7338,50.2785,43.1047
21.1397,1.4273,0.6408,0.6757,4546662.8374,47.6318,50.9375,0.637,0.6839,18090058.1045,52.7299,40.5535,0.637,0.6875,24733834.6392,50.7642,35.9132
23.9685,1.4643,0.663,0.6791,4375927.2935,49.3936,102.0468,0.6573,0.687,18145935.025,52.9244,56.5638,0.6573,0.6907,25414795.1803,50.7311,47.7026
23.5509,1.5351,0.6724,0.686,4428610.1562,49.1592,120.5905,0.6668,0.6929,18116717.6087,52.496,63.7086,0.6668,0.696,24908460.459,50.7594,54.6219
23.9342,1.512,0.6656,0.6837,4288357.7866,49.8728,87.1656,0.6614,0.6905,17159405.4934,52.6372,55.0171,0.6614,0.6937,24001646.0286,50.8985,47.4139
25.907,1.5055,0.6594,0.6832,4560819.0007,49.2215,53.2949,0.6559,0.6901,17499123.2787,52.8754,38.5886,0.6559,0.6936,24872016.82,50.3214,32.9239
27.1092,1.4115,0.6581,0.674,4275237.1636,49.5997,85.3848,0.6525,0.6824,17815475.7447,52.2896,45.3586,0.6525,0.6861,24488876.6143,50.8178,38.8732
26.5108,1.5119,0.6701,0.6837,4453545.7935,48.794,96.0836,0.6655,0.6904,17117431.4421,52.9003,54.442,0.6655,0.6936,23695493.1038,50.7942,46.0004
22.9587,1.4206,0.6579,0.675,4407752.3946,47.7236,104.1863,0.6526,0.6826,16811013.9455,52.8114,62.7912,0.6526,0.6865,23926188.6265,50.613,52.6434
25.2641,1.4007,0.6501,0.673,4341538.5313,47.118,61.1991,0.6466,0.681,16938068.9746,52.3999,44.0677,0.6466,0.6847,23506901.6865,50.0523,37.5539
26.2661,1.5181,0.6684,0.6843,4322779.7401,47.246,79.0005,0.6643,0.691,17282323.1505,52.3105,49.982,0.6643,0.6947,25124735.6104,50.6666,42.1744
24.6803,1.4552,0.6596,0.6783,4397872.4861,48.9602,81.2644,0.6551,0.6862,18190046.1564,52.2601,49.8926,0.6551,0.6898,24934796.4734,50.8076,43.2419
23.0393,1.5622,0.6687,0.6885,4419607.6277,47.2347,76.3323,0.6632,0.6948,17313900.8986,52.1058,50.3174,0.6632,0.6979,24433509.8064,50.8601,44.3966
27.9552,1.4302,0.6605,0.6759,4384690.576,48.8479,81.0708,0.6565,0.6836,17267514.394,52.1637,46.9867,0.6565,0.6879,25058787.4798,50.9909,39.4105
21.0398,1.4146,0.6391,0.6745,4499658.9242,47.0753,50.4364,0.6352,0.6824,17315089.74,52.0796,40.4079,0.6352,0.686,23829063.9296,50.3411,35.9385
30.2554,1.4448,0.6618,0.6774,4544125.2087,47.6784,65.6167,0.6562,0.6856,18600627.2357,52.3072,36.0789,0.6562,0.689,24962087.0764,50.0239,30.6775
24.8215,1.45,0.6666,0.6778,4331506.2302,48.8853,143.8811,0.6614,0.685,16640125.5135,52.6016,69.9591,0.6614,0.6884,23041065.5997,50.3438,57.935
23.566,1.4497,0.6573,0.6778,4492169.6352,49.2914,81.1464,0.6522,0.6856,17787153.0402,52.3555,50.2853,0.6522,0.6896,25452799.2617,50.3444,42.7269
22.9158,1.5924,0.674,0.6915,4631513.4544,48.0283,88.3256,0.6698,0.6978,18391607.986,52.2953,58.0257,0.6698,0.7006,25220364.7117,50.6615,50.7459
29.5486,1.4522,0.6646,0.678,4458288.4791,49.6952,84.5921,0.6594,0.6859,18091230.0792,52.0133,42.4129,0.6594,0.6896,25147853.5666,50.4368,35.8028
30.944,1.4912,0.664,0.6817,4407536.0229,47.357,51.322,0.6589,0.6886,16987849.4666,52.6589,32.658,0.6589,0.6922,24116547.0144,50.8303,27.9214
27.7684,1.4265,0.6638,0.6754,4191132.6699,48.8387,111.9684,0.659,0.6835,17601318.4377,52.2769,54.4435,0.659,0.6877,25226024.2225,50.1032,44.1574
28.0846,1.4946,0.6714,0.6822,4572629.0793,47.5,109.1515,0.6666,0.6891,17397353.3374,52.65,55.7711,0.6666,0.6926,24522493.8689,50.5258,45.8779
23.523,1.5654,0.6737,0.6889,4465314.3865,48.8199,102.9371,0.6696,0.695,17135136.5023,52.9688,64.5429,0.6696,0.6982,24551867.198,50.3968,53.9546
31.325,1.4675,0.6706,0.6796,4670921.1745,48.5467,111.7156,0.6671,0.6874,18347962.433,52.9775,52.7673,0.6671,0.6911,25678593.3182,50.7655,42.2778
20.1157,1.4206,0.657,0.675,4393786.1904,47.3906,127.1921,0.6514,0.6836,18652347.3049,52.7414,75.1281,0.6514,0.6873,25313232.116,50.2664,63.6817
31.0073,1.5058,0.6692,0.6831,4252218.3255,48.7172,68.9165,0.6648,0.69,17222851.9889,52.6128,39.4513,0.6648,0.6935,24487610.3256,50.8201,33.1549
24.314,1.4903,0.6658,0.6817,4401168.9747,48.4776,97.507,0.6613,0.6892,18271591.2581,52.5953,57.5839,0.6613,0.6927,25441210.3713,50.6592,48.8063
24.0375,1.4901,0.6682,0.6817,4528164.6025,49.8129,123.2846,0.6627,0.6884,16789985.1168,52.6009,64.5529,0.6627,0.6916,23152226.0741,50.5846,54.7793
22.2628,1.5267,0.6642,0.685,4230138.7164,48.4317,81.4798,0.6591,0.6915,16736071.8543,52.4095,54.0464,0.6591,0.6947,23493062.3217,50.5341,47.0749
28.3487,1.4025,0.6608,0.6733,4502462.8846,47.3718,98.1258,0.6573,0.6817,17876715.383,52.4293,54.1294,0.6573,0.6857,25044432.1429,50.5315,44.313
28.4068,1.4389,0.6642,0.6767,4377554.9449,48.4651,97.305,0.6606,0.6846,17595563.4627,52.9577,53.601,0.6606,0.6884,24741956.1369,50.1197,43.2483
30.7335,1.5122,0.673,0.6837,4346770.9213,47.429,89.9998,0.6685,0.6908,17754420.5189,52.5203,46.2188,0.6685,0.6942,24968292.3159,50.3047,38.0071
20.0892,1.526,0.6674,0.685,4269842.0065,49.5033,125.4479,0.6629,0.6921,18094245.4949,52.745,76.8707,0.6629,0.6953,25024235.4167,50.061,65.0776
20.4393,1.6235,0.6724,0.6944,4498683.4426,48.057,82.4944,0.6674,0.6997,16863581.5924,52.4739,58.6612,0.6674,0.7022,23129885.3432,50.7682,52.3961
29.8658,1.4806,0.6642,0.6808,4527979.3611,47.2516,60.1439,0.6592,0.6878,17159832.3771,52.0191,36.7008,0.6592,0.6913,24096707.3811,50.0334,31.1609
28.9468,1.4019,0.6519,0.6732,4385188.3922,48.4578,52.4496,0.6464,0.6812,17109087.3378,52.9526,33.3743,0.6464,0.6849,23655903.4291,50.1787,28.2472
21.297,1.52,0.653,0.6846,4614859.2874,48.1054,53.121,0.6483,0.6913,17503231.4938,52.6914,40.9574,0.6483,0.6943,23877029.7408,50.8816,36.6684
31.0754,1.4041,0.6591,0.6734,4334292.3465,48.2732,71.7591,0.6542,0.6819,17976401.1839,52.2206,38.3601,0.6542,0.6857,24875276.0045,50.4012,32.1618
25.2344,1.5045,0.6703,0.683,4385809.3874,48.6076,114.4352,0.6659,0.6904,18314852.3223,52.6093,61.9198,0.6659,0.6939,25648321.8484,50.4758,51.4737
24.0783,1.425,0.6629,0.6755,4490033.4982,49.4416,139.5628,0.6579,0.6832,17228898.0738,52.6681,70.3319,0.6579,0.6872,24498481.9946,50.1006,57.1493
26.4959,1.5152,0.666,0.684,4253027.7137,47.6473,68.1324,0.6623,0.6913,18398909.2848,52.6721,45.024,0.6623,0.6945,25186639.2085,50.8129,38.8033
23.1496,1.4582,0.6601,0.6785,4297703.7446,47.5168,90.9379,0.6545,0.6863,17852750.1435,52.4716,55.1064,0.6545,0.6899,24828866.2505,50.9217,47.6159
22.7891,1.462,0.6625,0.6789,4397622.9881,47.1058,105.063,0.6583,0.6862,17059188.5093,52.6817,67.0943,0.6583,0.69,24369243.7137,50.6048,56.179
31.5727,1.4541,0.6657,0.6783,4540450.3532,47.8696,76.465,0.6604,0.6858,17547303.7189,52.9338,39.7768,0.6604,0.6895,24548735.8008,50.4099,32.7596
28.906,1.4708,0.6705,0.6798,4370679.4941,49.445,129.471,0.665,0.6872,17573941.9186,52.9037,54.8305,0.665,0.6906,24193063.8167,50.9017,45.3891
28.885,1.408,0.6556,0.6736,4163352.9604,47.0446,61.8804,0.6507,0.6822,17927194.0496,52.688,37.8819,0.6507,0.6866,25879687.771,50.3853,31.4087
27.6219,1.5897,0.6729,0.6913,4624469.5871,49.1597,59.3863,0.6682,0.6969,16838988.4812,52.2437,38.6828,0.6682,0.6999,24223447.9791,50.9266,33.8138
29.022,1.5777,0.6716,0.6901,4528097.4807,47.0979,51.3311,0.6663,0.6965,18209408.6533,52.2457,33.3268,0.6663,0.6996,25647787.0253,50.7935,29.1428
21.1305,1.5006,0.6545,0.6826,4402786.9277,47.6536,63.1709,0.6493,0.6894,16953183.229,52.4187,46.3406,0.6493,0.693,24277157.4721,50.8405,40.9239
28.9492,1.4026,0.6618,0.6733,4473436.2956,49.2545,107.685,0.6568,0.6812,16986235.7171,52.4533,51.7961,0.6568,0.6852,24138876.2518,50.4104,42.2201
21.8193,1.5422,0.6566,0.6866,4436388.2331,48.0732,52.9308,0.6511,0.6933,17672301.1879,52.2978,38.9298,0.6511,0.6965,24793406.1521,50.5194,34.6518
28.5314,1.4388,0.6621,0.6768,4462858.9891,49.9316,83.5026,0.6572,0.6849,18288418.8062,52.9822,44.5634,0.6572,0.6883,24598829.7105,50.1191,37.1839
23.1476,1.52,0.6606,0.6845,4327524.3961,49.7206,66.3291,0.657,0.6911,17070770.7835,52.2598,47.0297,0.657,0.6945,24379940.7889,50.0292,40.4966
23.1883,1.5146,0.669,0.6839,4241497.5138,47.2862,109.6734,0.6645,0.6907,17139744.877,52.0615,65.8811,0.6645,0.694,24107375.3474,50.1054,55.7642
24.2555,1.5135,0.6641,0.6839,4387260.8153,49.1544,75.2016,0.6606,0.6913,18557178.3531,52.8343,50.3284,0.6606,0.6946,25540331.4128,50.5873,43.1227
22.2884,1.4032,0.6426,0.6733,4294040.5892,49.2879,57.6563,0.6373,0.6812,17021565.0586,52.8439,40.9342,0.6373,0.6857,24904746.6243,50.3566,35.0012
28.8013,1.4974,0.6735,0.6824,4471573.474,49.9449,135.1608,0.6696,0.6893,17327596.5234,52.8423,61.8741,0.6696,0.693,24904241.1068,50.7555,49.5853
20.4212,1.5546,0.6673,0.6878,4464414.1269,48.0935,95.5393,0.6622,0.694,17075002.2265,52.1117,63.7199,0.6622,0.6973,24437974.8679,50.3218,55.3415
22.8616,1.4077,0.6437,0.6739,4562969.6069,47.415,53.4979,0.6388,0.682,17712844.4513,52.9887,39.8005,0.6388,0.6858,24480864.4071,50.3814,34.4096
24.0226,1.6352,0.6701,0.6955,4350475.889,49.3851,51.1048,0.6663,0.7013,18422525.619,52.3043,37.7663,0.6663,0.7042,26012764.2937,50.6116,33.5637
31.8975,1.4393,0.664,0.6767,4350307.8983,47.6166,74.1314,0.6598,0.6841,16647103.2732,52.3004,41.0342,0.6598,0.6878,23575960.2921,50.1371,33.7461
22.4649,1.56,0.6744,0.6882,4247440.7957,49.5125,127.7661,0.6688,0.6949,17986533.3141,52.3327,68.0036,0.6688,0.6979,24879497.3949,50.4843,58.3484
25.9268,1.6048,0.6716,0.6926,4322472.5413,47.876,54.9864,0.6675,0.6982,16910950.8193,52.4895,39.8256,0.6675,0.7009,23552567.2663,50.0822,34.6281
21.1871,1.5627,0.667,0.6885,4299016.4326,47.4498,82.3182,0.6614,0.6948,17224900.6342,52.9252,56.274,0.6614,0.6977,24013887.9606,50.8653,49.2436
20.528,1.6792,0.6695,0.6998,4510969.8177,49.7314,54.3649,0.6643,0.7048,17812418.5424,52.983,41.078,0.6643,0.7073,25236703.3315,50.6638,36.6699
22.0864,1.4945,0.661,0.6822,4568835.06,48.0548,83.0868,0.6571,0.6892,17555678.4362,52.2139,57.2928,0.6571,0.6924,24076183.0398,50.4671,49.9372
29.4709,1.4476,0.6593,0.6775,4365456.1336,47.9101,57.8618,0.6544,0.6851,17257887.9246,52.661,36.008,0.6544,0.6892,25004265.9694,50.2822,30.0098
23.2376,1.4021,0.646,0.6732,4301885.8467,47.5572,59.4209,0.6419,0.6819,18333365.823,52.2842,42.6424,0.6419,0.6857,25141185.1185,50.143,36.9512
29.7563,1.5298,0.6692,0.6853,4204357.3801,49.9685,63.5795,0.6641,0.6926,18475924.886,52.2677,35.7212,0.6641,0.6956,25036840.5931,50.5756,31.0194
20.816,1.4747,0.6647,0.6801,4221389.6174,47.2721,136.0297,0.6597,0.6878,18022172.54,52.3505,78.5534,0.6597,0.6913,24999693.2484,50.0426,66.0603
29.1046,1.5482,0.6739,0.6873,4611459.9667,47.1626,75.7676,0.6699,0.6939,17955564.4059,52.4884,45.5403,0.6699,0.6968,24546550.797,50.1182,38.3829
27.2987,1.4255,0.663,0.6754,4395739.8589,49.4828,109.2275,0.6595,0.6834,17576480.7803,52.6315,58.5358,0.6595,0.6871,24254828.4574,50.509,48.2538
