Phi(固含量),d50(中位径_um),sigma(几何标准差),Emix(混合功_J),Temp(温度_C),Tau0(屈服应力_Pa)
0.6487,23.5421,1.4326,24317798.0384,50.4953,41.2336
0.6658,30.0221,1.4922,4401838.3143,49.512,64.495
0.6605,27.6633,1.4408,25134088.0499,50.6733,45.3031
0.6664,28.2666,1.5092,24460568.0159,50.4938,41.9474
0.6516,22.208,1.4227,4444626.1509,49.5252,79.4029
0.6548,21.3769,1.5469,24388101.6856,50.3334,40.0688
0.664,29.4634,1.4725,4324524.3734,48.9572,67.5192
0.6705,26.6952,1.5781,4347529.0282,49.1159,59.4533
0.6442,24.7293,1.4146,24941622.0146,50.3553,33.8661
0.6581,20.7808,1.6136,25538228.4004,50.3944,36.7564
0.6645,23.2162,1.4492,4509294.6496,49.3764,138.328
0.6635,23.7583,1.5568,4201441.5197,49.3693,58.8014
0.6575,26.2992,1.4872,4616423.0046,49.9047,53.0716
0.6709,25.3356,1.5143,4366207.8556,47.9111,107.8603
0.6607,28.1902,1.4192,4424501.3936,48.5504,87.4449
0.664,20.6814,1.52,25736475.2463,50.4459,65.7404
0.6637,24.3399,1.5018,24870316.593,50.3759,51.3567
0.647,21.6911,1.5,25773085.9752,50.058,35.0064
0.6638,20.7515,1.4885,4659210.5952,48.1671,116.1368
0.6648,21.5698,1.4727,4667140.2019,49.1885,132.5009
0.6672,24.0707,1.5464,25463748.2546,50.6429,50.1815
0.6573,20.3753,1.5262,4200991.9774,49.7374,70.9286
0.6591,30.3517,1.4027,4339885.7137,48.4842,76.3645
0.6659,24.0686,1.533,25206876.3238,50.0843,49.7102
0.6449,20.8186,1.4253,26025213.7645,50.8653,46.9626
0.659,23.6549,1.5177,24255016.2308,50.7263,42.8472
0.6615,29.0711,1.4708,23871498.6385,50.6602,38.3614
0.6636,31.2272,1.4897,4302779.3471,48.8104,51.379
0.6608,23.4212,1.5035,23226964.1815,50.9817,50.6779
0.6603,23.8827,1.5334,4276287.6399,47.7898,54.5855
0.6716,22.6858,1.5851,4682337.6275,49.6553,84.646
0.6458,20.5595,1.4575,4138388.5056,48.8628,58.9357
0.6581,20.4579,1.439,4546344.3425,48.6763,118.7029
0.6646,25.4732,1.564,4446490.8904,49.4068,51.7333
0.6663,31.0315,1.4713,24391467.7201,50.1598,41.05
0.6657,25.132,1.6021,25620611.3795,50.3669,34.15
0.6566,23.7998,1.4959,4172100.0013,47.2789,56.0874
0.6659,28.169,1.5107,4267761.9901,49.4395,64.2414
0.6538,23.1947,1.5348,25074704.4553,50.9739,34.6443
0.6749,23.5609,1.624,4446729.1965,49.8023,74.3515
0.6631,25.7209,1.5979,24421258.9915,50.2658,30.4703
0.6581,21.0285,1.4994,4363883.7572,49.6916,79.7337
0.6673,21.238,1.6829,24273111.4505,50.7361,37.8546
0.6409,23.0084,1.4472,24457445.1732,50.2626,31.5524
0.6546,23.9895,1.5053,24130356.1402,50.0708,36.7514
0.6696,26.2937,1.4646,4616173.3416,47.2463,141.8517
0.6705,22.562,1.56,4605846.7673,47.7769,90.9577
0.6424,20.3749,1.4341,24447246.0473,50.9668,44.7998
0.6682,24.627,1.5189,24232905.0634,50.7025,57.8456
0.6608,20.9875,1.605,23506482.4911,50.655,41.6752
0.6651,27.2813,1.5331,24877810.6122,50.4138,37.8551
0.6523,21.6,1.4075,4323534.6602,47.3536,90.9876
0.6618,24.2786,1.5102,4605164.7356,48.097,65.2135
0.6533,24.8626,1.4601,4530780.4983,47.3815,52.9313
0.6665,22.8162,1.4703,4343464.1083,47.7185,135.6055
0.6553,22.3221,1.5454,24412325.8645,50.2101,37.4976
0.6738,22.5682,1.5487,4295165.1137,49.4376,133.2656
0.6627,24.4991,1.482,4420903.9246,49.5801,84.4995
0.6566,20.9526,1.4904,4497611.7137,48.8238,76.5305
0.6658,29.4249,1.5202,4372864.9831,48.4987,53.3851
0.6513,20.9526,1.4904,24191840.8902,50.1973,45.5667
0.6656,24.7044,1.5371,4575407.3614,49.1106,67.4842
0.6607,25.533,1.5138,4318416.9882,49.8994,57.0875
0.6647,31.1734,1.4945,4467067.8284,48.1639,52.7602
0.6544,24.3257,1.4115,4799989.2486,48.5681,79.7486
0.6479,26.1991,1.421,24967618.3783,50.2285,33.2992
0.6618,24.7044,1.5371,25727667.3916,50.6316,39.6248
0.6697,29.3715,1.4483,4378298.4031,48.5095,148.4644
0.6728,31.3578,1.5649,4308564.0609,48.9964,55.1046
0.641,21.1151,1.4346,25211304.8267,50.4517,39.0481
0.6627,23.5289,1.4763,24263399.2604,50.94,60.0635
0.6706,29.6056,1.5714,4445795.3346,48.8235,50.4191
0.6473,20.4962,1.4597,4399766.3972,48.4034,61.5396
0.6539,23.7236,1.4065,4312642.9471,48.1088,84.7039
0.6541,20.2655,1.4461,4245277.4838,49.7779,95.8936
0.667,25.0169,1.5374,24949120.492,50.8623,48.3128
0.6594,22.8653,1.5406,4504539.9562,47.7536,54.5553
0.6678,23.2662,1.6093,23637722.3534,50.2286,42.8106
0.6608,20.7134,1.4517,4303507.6027,49.3363,129.2578
0.6678,25.837,1.5495,4440156.483,48.636,64.498
0.6482,22.4965,1.4467,4283568.3969,48.1392,56.3869
0.6692,31.8952,1.5125,23790052.9103,50.2462,37.3246
0.6594,20.7515,1.4885,25574977.596,50.774,62.3942
0.6372,21.5001,1.4201,25189556.8321,50.6722,35.5386
0.6642,31.7665,1.514,24720895.3193,50.8911,29.6127
0.6501,27.5606,1.4324,25857350.9852,50.7465,31.0281
0.6512,21.5997,1.472,4457107.9492,49.4266,62.9384
0.6657,26.6141,1.5493,4468342.3804,47.2526,52.2937
0.6564,28.416,1.4525,26188362.5622,50.083,33.373
0.6533,22.6682,1.4032,23784671.0209,50.4743,59.5685
0.6656,22.0073,1.5233,4399504.4986,48.2442,92.1196
0.6576,26.0745,1.506,23973248.2875,50.1959,34.8259
0.669,31.907,1.481,24930891.8771,50.5486,42.3107
0.6595,21.6011,1.5369,4460251.0012,49.0088,64.5913
0.6655,30.9146,1.5201,24449764.5812,50.1876,31.7892
0.6647,27.7181,1.5352,24289692.2636,50.4132,36.0907
0.6731,27.177,1.5755,4439228.3879,48.6733,68.4699
0.6588,24.0703,1.5218,24056842.6074,50.8029,40.6142
0.6628,21.4478,1.5345,25925727.7689,50.9571,55.4855
0.6367,20.9328,1.4066,24263441.9114,50.6617,39.0158
0.6634,30.9583,1.4062,4421747.555,48.8088,105.882
0.6576,22.149,1.4235,4455300.593,49.6632,112.5791
0.6567,21.219,1.4592,4527064.2422,49.622,91.8151
0.6565,29.9005,1.4224,4223264.6838,49.3075,57.9722
0.6632,21.7871,1.5353,4553204.0182,49.0084,76.9304
0.6675,28.3529,1.5722,24902318.3246,50.3759,32.8241
0.6634,29.2597,1.4738,4506125.9796,48.9124,64.8601
0.6524,23.9232,1.4477,4061726.2063,48.1744,60.5676
0.6519,21.0281,1.409,4378839.0764,47.8061,93.7467
0.6639,24.1655,1.5082,4471031.3454,48.3156,76.2545
0.6659,20.0985,1.5725,25386253.877,50.1686,60.5735
0.651,23.3465,1.5155,23321369.6764,50.5199,33.7267
0.663,21.3229,1.562,4315311.1132,48.6421,67.9468
0.6522,23.0136,1.4998,25377363.2651,50.299,37.2089
0.67,31.3458,1.5131,4479592.4519,47.0518,64.588
0.6496,24.1721,1.439,25074963.4066,50.9125,39.2299
0.6633,23.9645,1.4897,4454952.5824,49.0355,85.7682
0.6522,24.6129,1.4915,25641729.5119,50.3415,33.4276
0.6734,25.6409,1.6117,4298200.6691,48.1658,60.4196
0.6498,21.1351,1.4981,24562643.6898,50.168,41.1956
0.6706,24.1361,1.5435,4410603.8073,48.3042,91.876
0.6634,25.0054,1.5695,25063800.4445,50.3468,36.1808
0.66,30.2822,1.4564,4439777.1463,49.8096,56.0949
0.6687,22.1988,1.5304,4663052.3144,47.3374,101.8085
0.6684,27.7321,1.5631,25257139.0788,50.2175,36.6348
0.6587,23.2283,1.5095,4449133.861,48.1026,61.1903
0.6743,28.0674,1.5775,4445267.8088,47.9907,67.8113
0.6718,28.1646,1.5363,4452121.5402,49.9773,81.477
0.6511,24.152,1.4763,24722205.5028,50.4716,35.8641
0.6675,21.018,1.6288,25502813.2991,50.1142,46.7944
0.6515,21.0937,1.4708,23752145.885,50.6131,49.4773
0.6488,21.5379,1.4955,4421690.7465,49.2936,50.9
0.6627,21.6967,1.5351,25546071.7591,50.7739,53.8617
0.651,26.9626,1.4445,22943912.7947,50.8749,33.4334
0.6716,30.8738,1.5156,4408319.3253,48.9264,77.8769
0.672,22.3489,1.6336,4475219.9927,49.679,65.9958
0.6535,22.5505,1.4249,4459183.4067,49.955,84.5946
0.6592,26.7368,1.4424,24539482.8198,50.5695,45.8153
0.6627,20.459,1.5736,4675998.771,48.9854,68.4803
0.6737,29.2088,1.4984,4520976.1982,49.9582,132.1898
0.654,24.0029,1.4528,25274650.9255,50.4602,43.6241
0.6502,22.4197,1.5011,25270778.4938,50.3802,36.6213
0.6726,23.3769,1.6706,4371890.3108,49.7378,50.5863
0.6734,26.2919,1.6065,4379860.9028,47.6902,58.463
0.6682,28.1369,1.4879,24850594.9478,50.5994,50.775
0.6742,28.2384,1.5742,4370698.0318,48.7983,69.4933
0.6529,22.0922,1.5356,25037548.7405,50.1907,36.3145
0.6583,21.8458,1.589,24210402.6146,50.5076,37.0779
0.6511,20.5926,1.4658,24867553.3617,50.1887,50.8327
0.6729,22.0459,1.5382,4441595.9569,49.0826,139.8941
0.6562,25.888,1.4268,4712319.4579,47.8026,70.1106
0.6721,29.6462,1.481,4452816.4111,48.3824,127.6529
0.6539,27.3923,1.4016,24689785.4042,50.4917,41.4441
0.6534,26.3301,1.4913,25006367.5535,50.9347,31.1223
0.6419,22.0375,1.4107,24542896.0202,50.4661,40.4206
0.6523,23.3673,1.4936,24382433.7365,50.3856,37.5143
0.6429,24.3843,1.4016,25675369.1492,50.6558,34.8365
0.6583,27.5459,1.4296,4231139.4769,47.7292,70.0965
0.6593,22.3876,1.4181,4267267.9487,48.31,126.2258
0.6713,22.9211,1.6415,4470121.2231,49.6517,57.9197
0.6522,21.8347,1.564,24383732.3352,50.9623,33.5738
0.6591,24.4991,1.482,24228130.625,50.8796,46.4698
0.6743,24.727,1.5837,4358315.1033,48.0474,83.1262
0.6502,23.4494,1.4824,24941194.8603,50.9124,36.3496
0.6615,24.0925,1.5844,25101434.9921,50.7435,34.5633
0.6656,31.3632,1.4467,24673573.8449,50.1719,43.5942
0.6578,24.2501,1.5111,4331932.7432,47.6208,52.8664
0.6525,22.7616,1.4458,4510814.5878,48.4581,67.4087
0.6592,28.8279,1.4215,4404943.4802,48.6751,73.6866
0.6474,28.2381,1.4106,25310866.0136,50.859,29.5467
0.6661,22.7212,1.4919,4420132.974,49.8347,115.6392
0.6668,22.8411,1.6076,4656368.5363,49.6378,56.3575
0.664,21.3957,1.4922,4288107.7782,47.7784,108.4622
0.6502,22.2559,1.4744,4597156.0572,48.1798,54.3306
0.6583,23.2983,1.5142,23947088.7652,50.557,43.65
0.6669,29.4181,1.4555,4410397.7014,47.3086,96.0
0.6699,23.7044,1.5646,23250262.8015,50.9462,55.9826
0.6413,22.8102,1.4407,25187859.0616,50.9005,33.4154
0.6552,27.9792,1.415,24322229.5642,50.9963,40.3083
0.6695,31.676,1.5622,24250139.0231,50.025,29.9054
0.6673,22.7814,1.5919,24723077.8859,50.2192,46.2771
0.6718,22.6126,1.5834,4463722.516,49.2639,86.9598
0.672,28.5351,1.5186,4577341.7183,47.2259,88.0638
0.6675,29.1999,1.4768,25126475.7226,50.1005,47.1236
0.6656,26.3085,1.434,4381069.1367,48.2906,134.9514
0.6589,25.2826,1.4429,22948380.6918,50.2501,51.617
0.6656,21.8906,1.5731,24668837.6383,50.181,50.6989
0.6627,20.6545,1.5156,4561838.7409,49.5148,94.9984
0.6524,20.9904,1.4184,24731919.8491,50.653,62.4851
0.6653,23.3381,1.5517,4325856.9104,49.1963,68.4704
0.6531,21.6351,1.443,25168385.7545,50.2159,53.8935
0.6697,28.5407,1.5238,4417128.4255,49.9308,74.5215
0.6697,21.8571,1.6325,24134144.7635,50.3231,47.1907
0.6656,26.8665,1.4775,4339330.0151,48.7493,87.4309
0.6402,22.1118,1.4245,24000913.281,50.0764,36.1915
0.6442,25.2974,1.4171,25631487.8889,50.1912,31.6518
0.6454,25.6937,1.4309,24215352.0943,50.3373,31.05
0.6601,22.3221,1.5454,4452945.2826,49.9132,60.712
0.6621,26.5395,1.5075,4340784.9132,49.4046,58.5485
0.6627,26.9108,1.5129,4528273.4071,49.4941,56.7902
0.6613,22.7212,1.4919,24312589.4997,50.3577,56.048
0.6459,22.1118,1.4245,4495251.2656,49.1107,60.0434
0.6497,21.5792,1.5304,25687898.004,50.5388,35.0525
0.6607,22.7187,1.5672,25364783.7038,50.414,39.9607
0.6559,23.5603,1.4678,4576512.8595,48.5202,65.9815
0.6633,22.359,1.5089,24378538.9236,50.9901,59.3225
0.6629,20.4091,1.5986,25164426.2968,50.0803,47.316
0.6383,22.333,1.4111,24628720.2676,50.5782,35.1736
0.6626,28.63,1.4769,4398677.1464,49.862,64.195
0.6574,22.5303,1.5254,4597032.7061,47.773,55.378
0.6632,24.4972,1.5736,25038825.5881,50.3362,36.7791
0.6623,31.8089,1.4072,23507432.6034,50.3816,45.0803
0.6554,25.6355,1.5214,23982472.9552,50.374,31.4332
0.6576,25.3446,1.4827,26174172.0334,50.7883,39.7169
0.6557,21.0151,1.56,24885496.4887,50.4214,40.5155
0.6482,20.9582,1.4968,24299329.9088,50.7075,40.5951
0.6629,21.1402,1.5539,23808033.3936,50.6301,54.0884
0.6601,27.5212,1.5207,25333394.1626,50.9575,32.2731
0.6558,26.3905,1.4456,25227816.0789,50.6275,39.9938
0.6636,20.7389,1.6524,25346546.8438,50.841,38.8545
0.6572,31.9776,1.4678,24819979.899,50.835,26.5721
0.6638,29.778,1.4519,4347586.1681,49.4535,77.9145
0.6654,28.9797,1.4342,4544178.9504,47.4116,105.2452
0.6631,24.0525,1.5464,24259561.0486,50.029,42.5501
0.6607,20.708,1.4635,4211871.8924,49.2306,118.0767
0.6604,22.6023,1.5652,4244726.7075,49.3916,53.5981
0.6626,29.8377,1.521,25855689.5441,50.1889,29.5079
0.6536,21.0285,1.4994,24001215.7348,50.9563,48.2417
0.6435,25.7255,1.4071,24837038.4827,50.8194,31.7342
0.664,22.444,1.5868,24460434.2276,50.174,42.9732
0.6523,23.1368,1.5187,23658154.4566,50.5981,35.3283
0.6555,28.1649,1.4142,4546004.6586,49.7756,64.8923
0.6589,25.0678,1.4985,24285669.2595,50.2745,40.6196
0.6743,29.0971,1.5944,4436740.4615,49.0306,56.6903
0.6464,23.0084,1.4472,4492172.4568,48.7268,50.1418
0.666,24.9908,1.5085,4449042.8346,48.5245,81.2531
0.6415,22.3112,1.403,4139496.4357,47.211,52.5842
0.6675,28.3866,1.5054,24990527.6582,50.7966,44.3546
0.6637,22.3213,1.529,23698372.0703,50.9607,56.0341
0.6601,23.8869,1.5221,4384069.4686,47.1637,56.7196
0.6605,27.2884,1.4603,4379343.8943,47.1991,65.4629
0.6613,24.5823,1.4708,4456364.7246,47.1426,78.2114
0.6615,26.7462,1.4704,4410471.7676,48.4784,69.6615
0.6374,20.8705,1.4123,4604003.8452,48.8388,50.6768
0.6498,21.4086,1.4612,4216117.8666,48.0627,61.9954
0.6683,20.8545,1.5947,4360713.2697,49.0318,77.4168
0.6733,23.4727,1.6501,4438661.9239,47.8131,55.7879
0.6717,29.879,1.472,4536108.601,49.0347,135.6017
0.6626,25.5893,1.4721,24508091.083,50.3085,50.7343
0.6574,23.5723,1.4787,24808833.4574,50.2792,46.5419
0.6406,22.5608,1.4501,24683384.68,50.4482,32.2578
0.654,23.6104,1.4025,4333797.4799,48.4848,89.2257
0.6663,31.917,1.4969,25677147.2066,50.3343,33.7786
0.6549,22.7079,1.4074,4474874.0853,48.1535,97.5374
0.6587,23.1148,1.4314,23454648.8825,50.6517,64.525
0.6693,30.0543,1.5166,4290574.9176,47.992,66.307
0.6691,21.3658,1.6916,24122488.639,50.754,38.4937
0.6523,21.5924,1.4439,24349717.6177,50.4862,53.3508
0.6584,20.8498,1.4936,4376026.5167,49.8799,85.6672
0.6556,28.7446,1.4838,24856219.9427,50.3088,28.711
0.6718,23.3182,1.5405,4257348.6655,48.6433,112.0534
0.6474,21.4857,1.4416,23890162.0308,50.1867,45.6694
0.6554,21.0346,1.4224,4481325.9547,47.7676,105.0413
0.6579,27.757,1.4166,4449301.3386,49.5464,76.513
0.6557,28.1508,1.4138,4564876.1981,49.5604,65.4443
0.66,28.4292,1.5022,24948321.9828,50.0276,31.9458
0.6703,26.2169,1.5256,4484047.9765,47.3473,85.6997
0.6472,21.1635,1.4223,4630688.1791,49.7425,71.0669
0.6644,31.7578,1.4396,24717545.239,50.529,41.7218
0.6512,22.4198,1.4835,25219810.1927,50.8366,40.8269
0.6723,29.2064,1.5879,4503032.1071,49.2717,52.0903
0.672,28.1369,1.4879,4440304.0326,48.0943,127.7225
0.6589,21.8721,1.5047,4452424.6583,49.2148,73.6638
0.6586,22.9744,1.4941,24416118.6725,50.3236,48.6792
0.648,20.1965,1.4795,4163002.718,47.3944,58.1202
0.6703,28.5811,1.5378,4704626.6209,47.3498,64.7091
0.6538,24.8407,1.4059,24855375.3444,50.3742,48.9963
0.6663,22.2852,1.6532,25359945.6766,50.6756,36.7296
0.6592,20.9772,1.4165,4275079.8674,47.0356,139.6514
0.6675,30.2456,1.4584,4660862.6581,47.2026,91.766
0.6625,26.7537,1.4458,4245703.9626,47.7103,88.4837
0.663,25.8289,1.5126,4394157.1422,48.7185,61.9822
0.6506,27.2348,1.4098,4288723.0984,47.296,51.5796
0.6577,30.3724,1.425,4654365.1415,47.6068,56.3979
0.6476,25.4345,1.4035,4603521.5646,47.6166,52.6095
0.6595,25.9762,1.5012,4518065.2972,48.5176,53.7421
0.6746,20.3983,1.6939,4224621.2999,48.4571,62.7213
0.6495,20.846,1.4171,25310589.2878,50.7318,56.7029
0.6588,31.5443,1.4937,23441048.3688,50.9592,26.7867
0.6591,21.8611,1.4311,4390498.6799,49.0,119.5426
0.6724,23.1599,1.5351,4506908.516,48.1135,122.106
0.6645,22.4078,1.4603,4353929.2844,47.323,128.9478
0.6626,24.1895,1.4697,4374083.4185,48.3983,91.8062
0.6664,30.2249,1.54,24883815.6777,50.9346,32.0747
0.6503,28.1796,1.4212,23511832.6995,50.1989,31.9428
0.6562,29.1609,1.4573,24556294.3916,50.0844,31.6758
0.6524,20.7466,1.4252,23546229.7758,50.8261,63.5666
0.6629,21.8043,1.6069,24254712.8221,50.3962,40.726
0.6623,28.7864,1.439,4396245.594,49.8296,82.9068
0.6603,29.0159,1.4037,24039512.9479,50.8481,49.6392
0.6561,24.7274,1.4193,4233534.6465,49.2764,84.3817
0.6576,23.1947,1.5348,4084985.0517,47.8497,50.8765
0.6728,21.018,1.6288,4495814.0701,49.1479,79.2002
0.6649,22.4599,1.575,26010341.9477,50.6774,46.2122
0.6631,20.322,1.5176,4403237.5075,48.8326,98.1594
0.6675,23.3182,1.5405,25211262.8415,50.0634,55.0035
0.6575,26.8225,1.5115,25116181.6474,50.376,31.7336
0.6735,20.8614,1.6356,4484678.3248,47.6239,77.2648
0.6552,23.8714,1.4817,24803507.8201,50.0517,41.227
0.6483,26.8015,1.424,25525498.7848,50.8479,32.0041
0.6679,21.6967,1.5351,4479717.4638,47.8283,99.3621
0.6721,30.8002,1.5014,4612092.8553,49.6065,94.9796
0.6524,23.2758,1.4628,4541630.0576,47.488,57.1718
0.6518,20.3055,1.5008,4412660.323,48.0358,61.1857
0.6628,24.7137,1.5575,4396561.8076,49.3998,52.0393
0.6505,25.6529,1.4452,23804011.6805,50.2997,35.3042
0.6677,28.0294,1.5413,25428180.1959,50.1682,38.2095
0.6431,20.2236,1.4586,4471524.4227,49.7943,55.448
0.6493,20.2873,1.5154,4531328.4359,47.5691,51.0956
0.6509,23.1817,1.4635,24987215.1001,50.9014,40.8452
0.6689,23.4056,1.6258,4500717.7819,48.5852,52.5487
0.6458,27.1387,1.4079,24049980.8047,50.4034,30.8442
0.6701,22.1898,1.571,4276279.6031,48.7024,87.8474
0.6563,26.0984,1.4106,25008456.1717,50.4073,48.1932
0.658,23.1913,1.5402,24788328.7123,50.99,39.3217
0.6531,30.4514,1.4228,25145473.5959,50.2393,29.4732
0.6737,22.6026,1.5918,4537299.5595,49.1382,92.0491
0.6629,21.7356,1.4789,4529482.1425,49.9864,112.0484
0.6481,25.7255,1.4071,4238854.8208,49.7894,54.9322
0.6605,25.1607,1.4742,4126740.0392,48.2226,72.0685
0.6705,27.473,1.4688,4451765.3426,48.7767,143.1269
0.667,24.2591,1.4874,4670054.0632,48.1095,107.1568
0.6567,27.4238,1.4584,24056000.6076,50.9572,37.343
0.6576,21.14,1.5807,24310543.5393,50.2558,39.6563
0.6618,27.3868,1.4531,25159365.1776,50.3731,46.0328
0.6697,24.7721,1.4917,4408842.8441,47.6535,124.2923
0.6612,26.0114,1.5032,4440034.0387,48.7467,58.7269
0.6467,26.791,1.4104,24402732.0799,50.4159,32.1749
0.6738,30.6712,1.4858,4617104.528,47.1388,133.5007
0.6723,24.584,1.6117,4446370.468,47.003,59.7195
0.6527,30.2929,1.4214,24973040.5173,50.4642,29.7428
0.6561,21.875,1.5487,23820428.0401,50.419,40.088
0.6672,24.303,1.6009,25080868.222,50.5306,39.2138
0.6666,31.5661,1.5133,4428295.4652,48.4414,51.2566
0.665,27.1496,1.5215,4418392.6321,47.8772,58.5001
0.6651,23.4078,1.4779,4164563.7536,47.2677,107.8846
0.6605,26.7192,1.4077,4438623.8689,48.0596,104.4984
0.6569,28.5386,1.4762,23967288.3999,50.3024,31.9667
0.6693,27.6489,1.5737,4572749.533,49.5812,53.3604
0.6536,24.1117,1.4026,24632685.507,50.9259,53.1649
0.6607,24.9908,1.5085,23327334.8611,50.2334,42.68
0.6665,28.1646,1.5363,25036293.9958,50.4613,37.1093
0.674,22.402,1.6842,4295802.6531,47.9751,52.5696
0.6712,31.0496,1.5547,4375851.8561,48.718,53.8531
0.6523,25.5628,1.4051,25211210.8012,50.8459,43.9468
0.6644,23.5579,1.4942,4554665.3596,47.8231,89.8551
0.6419,20.426,1.415,25066161.9271,50.2444,45.7998
0.668,27.4078,1.4727,4327265.0107,49.7465,110.3427
0.6521,22.5736,1.4496,25674831.8213,50.7736,46.7643
0.6744,29.8066,1.5755,4554524.7455,48.0406,61.4252
0.656,21.9527,1.5478,25061686.6704,50.5994,39.307
0.6654,26.9942,1.5046,24500873.3057,50.7682,45.0684
0.6618,31.9327,1.4172,4444876.3285,48.4697,75.8311
0.6671,24.6003,1.4683,4405040.2321,49.9084,131.5146
0.671,23.8731,1.567,4464806.2256,49.781,84.0762
0.6602,23.7156,1.4345,4246044.8828,48.1131,105.129
0.6498,25.6937,1.4309,4500195.7992,48.5256,50.6095
0.6598,24.7259,1.4742,23995550.608,50.4057,48.1817
0.6672,23.3728,1.5513,4510411.1467,48.1414,73.9587
0.6548,23.5635,1.5197,24563031.0855,50.4472,36.5318
0.6526,22.6939,1.4563,26199901.4484,50.5484,45.3365
0.6446,20.0636,1.4508,24631062.2754,50.2364,45.8164
0.6543,20.1447,1.5143,24587114.7015,50.789,50.4585
0.673,23.8513,1.5234,4448884.1916,49.9663,140.8123
0.658,22.9782,1.4487,24339093.1956,50.9029,58.1106
0.6601,23.5579,1.4942,24711227.2764,50.298,48.8574
0.6647,21.984,1.5082,24828136.6424,50.9578,64.8601
0.6656,26.9577,1.5686,25635514.4775,50.4158,33.7739
0.6639,20.6218,1.5449,25228124.6883,50.6622,60.2535
0.6614,27.6705,1.4249,23844682.217,50.8919,52.1957
0.6665,22.5858,1.5576,25089507.3018,50.0495,52.2816
0.6611,28.5386,1.4762,4729312.0257,47.3644,55.2496
0.6503,25.8591,1.4651,25791512.0566,50.2868,31.1963
0.6597,30.0111,1.4449,24545123.8902,50.4493,36.6668
0.6711,23.1512,1.6521,4298213.6702,47.1497,50.0246
0.6513,21.3975,1.5028,24750437.0021,50.0533,41.3141
0.6527,22.9053,1.4544,4514515.5047,48.544,64.1948
0.6634,29.8956,1.4695,4238430.2825,47.4596,62.7226
0.6469,24.169,1.4301,24728789.752,50.3994,36.7735
0.6704,20.0985,1.5725,4494789.5555,48.1348,105.8382
0.6614,21.4181,1.587,4453087.3363,48.7772,54.8288
0.6487,21.9757,1.4439,4521454.0681,49.9569,63.3838
0.6681,24.3083,1.5406,24486364.5522,50.6936,53.3332
0.6514,23.5701,1.43,4590159.2396,49.3237,66.215
0.6593,30.2654,1.4533,23861267.8736,50.3646,34.5056
0.6523,20.4302,1.5307,4306571.1236,47.1119,52.4477
0.6684,21.9927,1.5891,23694644.3324,50.3907,53.6218
0.665,23.7642,1.482,4137238.7442,49.4123,105.7165
0.6604,30.7346,1.4677,25092519.9352,50.1688,32.1949
0.6597,28.3836,1.4601,25123548.7359,50.8234,38.2706
0.6631,26.4378,1.5218,24725051.5579,50.2833,39.0461
0.6561,22.5135,1.458,4583158.0918,47.0631,74.594
0.6737,22.0089,1.536,4326616.8876,47.1663,147.0852
