Phi,d50,sigma,Emix,Temp,Tau0
0.4781,8.0754,1.4892,7346989.8785,29.284,18.7738
0.456,7.78,1.4284,1513269.9241,26.3738,11.8469
0.479,8.2821,1.5443,7736616.7638,27.6746,11.8403
0.4721,9.7947,1.4546,1455783.0244,26.8201,11.8786
0.4733,10.0406,1.4502,7766377.8479,28.0406,11.7912
0.4798,9.6175,1.4141,8097329.8763,28.1156,19.2109
0.4627,8.5162,1.4423,7755519.6806,28.9603,12.5207
0.4669,8.5187,1.479,8041505.5433,27.6132,10.5993
0.4795,7.1224,1.5538,8149623.5676,28.7483,16.3777
0.4819,8.4069,1.4887,1412701.8274,26.4742,18.3521
0.467,8.9277,1.4263,1417658.2411,26.8862,14.1234
0.4734,8.275,1.4215,6779445.8607,28.5121,21.3003
0.4714,7.2333,1.4483,1183254.6622,27.0094,22.462
0.4799,8.7117,1.5118,1281349.7569,26.4986,13.9451
0.4775,9.8146,1.4374,7427629.5081,28.8603,16.0949
0.4585,8.1511,1.4162,7956749.006,29.0637,13.7948
0.4834,11.0017,1.416,1470383.4687,25.4084,15.252
0.4726,7.3716,1.4544,1353070.518,25.3908,19.2821
0.4714,7.3123,1.4881,7700572.6249,28.4795,17.0823
0.4744,9.2289,1.4298,1463971.224,27.8696,17.8392
0.4829,11.0612,1.466,1255797.2508,25.9825,12.0462
0.4598,7.3886,1.424,7963465.0919,27.0372,14.7453
0.4748,10.2815,1.4454,1291067.9814,27.0563,12.7506
0.4815,7.4844,1.5259,1251567.1177,27.4743,19.7478
0.4784,8.8679,1.4216,8174800.1579,28.0468,20.7069
0.4644,9.0629,1.4564,7017287.2351,28.6215,10.657
0.4701,7.1347,1.4111,1469364.5811,27.7581,28.4453
0.4641,7.3005,1.5149,7812124.175,27.67,10.1983
0.4599,7.313,1.413,1278266.4782,27.831,18.964
0.4729,10.3417,1.4186,7788377.384,28.2896,13.1907
0.463,8.2886,1.4823,7439877.9945,28.8994,10.3282
0.4772,10.3332,1.4398,8044059.3812,28.764,13.9617
0.4845,8.327,1.4501,1366980.8642,27.0808,26.282
0.4761,9.0646,1.4825,7331130.9002,27.3163,12.7145
0.4726,9.3657,1.4208,1260630.8617,25.3599,14.3795
0.4737,7.9667,1.4214,1359220.1071,27.534,23.9922
0.4687,7.5063,1.4805,1331814.0552,27.5005,16.0284
0.4718,7.4751,1.5147,1396911.8679,26.2373,13.3747
0.4716,9.4651,1.4256,1420764.4171,26.5459,14.4734
0.4741,11.1752,1.4001,1336200.8358,26.7989,13.1699
0.4871,9.1148,1.5215,1308238.3358,27.2427,16.5513
0.4827,7.1971,1.5433,1361656.4022,26.0395,18.1042
0.4713,9.7117,1.4203,7802204.3761,27.6792,13.5518
0.4655,7.2375,1.5241,7867103.6718,29.9461,11.823
0.4647,8.1216,1.438,1489105.9315,27.7673,15.5628
0.4813,8.106,1.5432,1320763.3908,26.1234,13.6298
0.4818,7.1688,1.5688,1418353.3034,26.4029,15.2965
0.4794,12.9419,1.4073,7723081.2414,29.548,11.9091
0.4832,10.2546,1.4808,1483991.4509,26.8811,13.8531
0.4858,11.4277,1.4059,1431286.2149,27.9676,19.2489
0.471,9.7463,1.4049,1405396.7219,27.5924,16.0681
0.4631,8.1654,1.4352,1266447.095,27.3769,14.4654
0.4741,9.6769,1.4941,7392325.3779,29.2185,10.9183
0.468,10.8051,1.4205,7134653.561,29.8116,11.2837
0.484,7.3453,1.5047,1349084.8345,25.7737,22.5292
0.46,7.0668,1.4961,8669094.4189,28.13,10.6813
0.4862,10.718,1.4902,1414550.8417,26.1487,12.7344
0.4554,7.3886,1.4136,7757849.2355,28.9048,15.1478
0.463,7.4583,1.4401,8484663.052,28.5691,16.1514
0.4736,9.894,1.4112,7542109.1929,27.1653,14.3295
0.4795,7.2847,1.5083,7735035.4574,28.5162,20.534
0.4797,9.6339,1.5089,7183087.4752,29.6725,12.7819
0.4607,7.6811,1.4652,7618904.8006,29.0045,12.355
0.4879,7.9174,1.4561,1310036.358,25.0885,27.4015
0.471,7.9142,1.4424,1270265.875,25.2178,16.7203
0.4803,7.9303,1.5168,1493280.7666,27.6367,17.8803
0.486,7.061,1.5593,1479161.3273,26.7512,20.3709
0.4644,7.9142,1.4424,8426059.6505,29.9274,16.107
0.4731,9.5236,1.4308,1388949.0348,25.7126,13.7436
0.4744,9.592,1.4795,8144873.8901,28.4051,11.5574
0.4748,8.2879,1.4987,7660462.3663,29.204,14.8037
0.4674,7.1239,1.4297,1293716.6385,27.6392,23.2536
0.4592,9.0687,1.422,8433148.1408,28.5616,10.6406
0.4764,11.5657,1.4063,1407303.8429,27.0439,13.0158
0.478,8.1685,1.4786,7082763.4707,27.3431,17.2471
0.455,7.8989,1.4067,7581869.1055,29.4119,14.1166
0.4781,8.7735,1.426,8124825.0063,27.0251,19.1173
0.4769,7.7319,1.5723,7931282.7513,28.3797,10.8041
0.4637,7.6279,1.4283,7989521.9992,27.0204,15.4646
0.4632,7.0132,1.4612,8078821.4453,29.9123,17.5598
0.4706,7.9841,1.4031,1310571.0561,25.9998,21.3957
0.4565,7.3022,1.4374,1387473.1174,25.5435,12.187
0.4777,10.4607,1.4807,7601955.9759,28.857,11.2337
0.4585,7.886,1.4095,1346907.1858,27.0066,14.9449
0.4692,10.0439,1.409,1315786.4942,26.9132,13.3276
0.4745,7.9927,1.4433,1584607.8417,27.759,21.9783
0.4695,7.0493,1.4571,1300133.4836,27.7584,22.0108
0.4604,8.3831,1.4071,1300013.1259,25.2365,12.6175
0.4749,7.0421,1.4381,7906188.2259,29.9553,30.2372
0.4569,7.4921,1.4081,1348227.3741,27.167,15.9503
0.4739,7.1442,1.4748,7851846.7312,27.0919,19.3454
0.4792,8.717,1.454,7888111.9834,28.5509,19.2422
0.4739,9.5891,1.4431,1464661.1923,26.2458,13.517
0.4797,10.409,1.4812,7912490.9541,28.1991,11.5912
0.4595,9.1391,1.4241,7552139.465,28.453,10.5158
0.4788,9.9899,1.4782,7473150.7461,27.8921,12.2588
0.4733,8.2325,1.4889,7977871.5585,29.0495,14.875
0.4856,9.2473,1.4118,1497106.7718,26.4288,25.5256
0.4716,9.4218,1.4067,7610382.6102,29.0037,17.0071
0.4722,9.6974,1.4186,1641368.0624,27.9055,15.9426
0.4727,10.6015,1.4462,8412296.4939,29.963,11.7892
0.463,7.418,1.4201,1300018.3565,26.1622,17.521
0.4785,7.8536,1.4058,8578579.3605,27.0883,26.6597
0.466,8.4573,1.4693,7147973.3523,27.8409,11.3974
0.4779,7.2658,1.4052,1427140.7709,25.8538,32.0157
0.4506,8.2715,1.4083,8044390.027,29.4234,10.781
0.4813,7.9342,1.5043,1362027.1795,27.0294,19.1866
0.4711,7.9983,1.432,1535330.378,27.8692,20.9481
0.4786,8.0894,1.4137,7489490.6248,27.0084,24.6133
0.4844,9.8354,1.4314,1376844.7686,25.3847,18.2988
0.4768,9.267,1.506,7373088.3536,27.2784,10.8239
0.4715,8.4427,1.4273,1282063.8106,25.824,17.0677
0.4702,10.4191,1.4081,1373681.2062,27.1882,13.1147
0.477,7.7751,1.4313,8072401.8497,29.1696,26.259
0.4687,7.9003,1.4117,7277552.8537,29.8129,22.6358
0.4814,9.6233,1.402,1479783.8237,25.5548,20.2893
0.4606,7.5079,1.4028,1417980.0604,25.9078,17.0716
0.4561,7.3279,1.4019,1341738.042,25.7882,15.2277
0.464,7.054,1.4208,1344103.1419,25.1546,18.5415
0.4726,7.0839,1.4675,7962480.8857,27.7344,20.4689
0.4829,8.3275,1.4727,1401314.6344,27.2268,22.3451
0.4794,9.1815,1.4869,1331155.2939,26.8703,14.6292
0.4805,8.589,1.506,1435005.4321,26.9394,15.6196
0.4831,12.9634,1.424,1520047.6979,27.8113,12.4121
0.4785,8.4069,1.4887,7798556.9208,28.7962,16.9865
0.4779,7.8385,1.5166,7393456.709,29.5334,17.0491
0.4759,7.5228,1.5213,1365719.966,25.5482,14.1197
0.4829,8.2652,1.4557,1279063.5274,25.1926,21.4797
0.4829,8.9132,1.5031,1303920.1915,25.3125,14.3539
0.4786,8.0547,1.5059,7071553.3766,28.1419,16.316
0.4664,7.3325,1.4447,7652666.0424,28.0107,17.9067
0.4612,9.485,1.4163,8126025.6789,29.534,11.4918
0.4714,11.7256,1.4211,7036197.2552,29.9387,10.7911
0.4623,8.9277,1.4263,7647643.4992,29.1808,12.555
0.4663,7.1477,1.4286,7488528.9909,28.7807,21.7073
0.4792,7.2817,1.5841,7328781.4333,28.2932,12.3496
0.4888,12.1702,1.4244,1428315.0105,25.9051,14.8055
0.4724,11.6562,1.4007,7880784.9973,28.5471,11.3859
0.4891,8.7351,1.4636,1568998.1047,27.616,26.8447
0.4829,7.5573,1.5079,1355706.8713,26.4705,21.1452
0.4804,9.5189,1.4512,1490302.7932,25.0898,15.0036
0.473,9.1045,1.4649,7615944.7125,27.2514,12.3968
0.4784,9.2027,1.4549,1505011.4699,27.1158,17.0837
0.4704,9.7672,1.4102,8505233.5894,27.3018,13.2162
0.4839,10.944,1.4179,1275376.3007,26.975,17.4925
0.48,9.2113,1.5328,7997807.4001,29.5039,11.9404
0.4838,8.3529,1.4215,1404994.5402,26.6104,28.6141
0.4881,9.5338,1.521,1438622.5933,25.6094,13.9192
0.4824,8.6942,1.4474,1385959.3624,25.2214,19.9272
0.4857,12.7311,1.4174,1423748.7061,26.4761,13.2258
0.4896,8.9645,1.5156,1416597.4943,27.5066,19.6344
0.4506,7.3279,1.4019,7702026.0198,28.2419,13.3913
0.4774,8.0708,1.5121,8260700.9013,27.7697,14.3214
0.4795,7.0259,1.4484,1318645.7369,26.1199,29.5098
0.486,8.1932,1.4947,1303324.1814,27.8647,23.8095
0.4786,9.1148,1.5215,7262430.8118,28.3681,11.7165
0.4755,10.8195,1.436,1265647.4419,25.6122,11.1577
0.4617,7.4725,1.4657,1407291.5802,25.0448,11.3579
0.4839,7.1442,1.4748,1339132.0502,27.5853,31.8103
0.4645,10.1931,1.4079,7699092.7004,27.3165,10.2622
0.4751,9.4033,1.4273,7652207.7542,28.1675,16.3151
0.4841,8.7699,1.4261,1291770.2883,25.1314,22.9354
0.481,9.1918,1.4511,1374732.8887,26.8667,18.7881
0.4745,8.5838,1.4931,1309823.4022,27.9181,14.4659
0.4744,7.8332,1.4909,7721813.4811,29.5719,17.5011
0.478,11.2311,1.4763,7397253.5782,28.7327,10.0663
0.4685,9.8988,1.4052,1497746.5573,26.5589,13.2831
0.471,8.5162,1.4423,1462403.9668,25.6483,14.8662
0.4847,8.3276,1.4941,1350817.7229,26.6807,20.3477
0.4772,10.3417,1.4186,1313475.2384,27.4015,16.1013
0.4789,8.9359,1.4085,7411581.6227,29.704,24.7567
0.4672,9.2289,1.4298,7991947.3971,29.8715,14.1267
0.4689,10.6316,1.4392,7401674.558,28.629,10.0317
0.4797,8.9132,1.5031,7079047.6644,29.6031,15.4171
0.466,8.5117,1.4574,1335372.3835,25.9657,11.6717
0.4777,11.4529,1.4334,7061582.9394,29.03,12.376
0.4703,8.6493,1.4149,1301465.1236,26.6557,17.7401
0.4727,7.483,1.5448,7107784.6826,27.7143,11.3756
0.4648,7.1289,1.5187,7933068.9045,27.8584,10.8359
0.4778,9.4709,1.4948,1347072.827,25.4241,11.1349
0.4716,7.4975,1.4236,6986860.8555,27.3185,22.2598
0.4673,9.809,1.4414,7621776.9292,27.7743,10.3864
0.4694,9.5259,1.4652,7734642.3626,27.5726,10.1649
0.4745,9.641,1.4616,6836670.088,27.4175,12.1863
0.4759,7.2787,1.4543,1452840.2537,27.5004,25.797
0.4625,9.2614,1.4142,6932552.8192,27.2451,11.2662
0.4614,8.5206,1.412,1420023.546,25.9961,12.9779
0.4869,12.0275,1.4549,1339763.6008,27.8407,14.0483
0.468,7.0335,1.4669,1465496.5209,27.3458,19.109
0.4768,12.9634,1.424,7190749.6558,29.9285,10.3458
0.478,9.592,1.4795,1477408.6396,26.0813,12.5668
0.4626,8.0935,1.4516,1424747.7361,27.7678,13.3466
0.4612,7.8989,1.4067,1299186.1613,26.5692,16.1996
0.4801,7.7176,1.4948,1322135.9047,25.9157,18.9694
0.4589,7.7348,1.4746,7960663.2263,28.32,10.1594
0.4617,8.3135,1.4062,1325631.9109,26.803,15.1548
0.4732,7.1888,1.4776,1437697.2192,27.044,20.3902
0.4786,10.8639,1.4042,1393729.4842,25.2381,14.0612
0.4776,12.6524,1.4005,7887171.4229,27.5511,10.7106
0.4714,8.0691,1.4214,1431550.6573,25.7231,19.0457
0.466,8.2963,1.4278,7387092.7855,27.741,15.0213
0.4779,9.1394,1.502,1471610.1317,25.9862,11.9819
0.4697,10.8944,1.4053,7805942.8126,29.01,12.0299
0.4806,9.2442,1.4779,1266838.9029,26.8197,15.8166
0.465,8.6033,1.4094,7403782.2474,29.7595,16.9481
0.4657,7.696,1.4505,1367273.4533,26.1068,14.8625
0.4782,8.4759,1.5313,7349344.5243,29.1639,13.1735
0.4864,12.5589,1.4099,1306429.3333,25.3751,13.3205
0.4869,10.7703,1.4803,1513612.2164,26.8372,14.3148
0.477,9.5906,1.4517,1456384.9971,26.348,14.4471
0.4845,7.3677,1.5062,1362443.4266,27.325,25.2447
0.4703,7.2638,1.4574,1408988.9506,25.7589,18.4381
0.4797,10.823,1.4706,7859079.1812,28.1337,11.3134
0.4791,10.975,1.4124,7693647.9392,28.04,14.5719
0.4571,7.1532,1.4175,1313831.6962,27.953,17.5249
0.4721,8.2886,1.4823,1328727.2811,25.2832,12.5824
0.4628,7.8662,1.4092,1459050.1397,27.1655,17.6889
0.4792,7.8564,1.4936,7998757.0675,29.4149,20.0505
0.4593,7.713,1.4171,7346364.0851,27.5326,14.4647
0.4792,11.131,1.4508,1371017.386,26.6819,11.9296
0.474,10.4168,1.438,7852178.8736,28.5746,12.3672
0.4635,8.0367,1.4555,1350170.8172,26.4503,12.5202
0.4744,9.8569,1.4168,7407321.4556,29.8447,17.0668
0.4636,9.3241,1.4018,1554845.8737,27.0292,13.3549
0.4686,9.5307,1.4528,7196399.5993,27.7098,10.7855
0.4591,7.0498,1.4566,1294538.4438,26.7358,13.9249
0.477,9.0703,1.5267,7492890.2399,28.2747,10.6856
0.4521,7.78,1.4284,7400063.5864,27.3931,10.0294
0.4818,7.3053,1.4333,1316713.3071,25.8387,31.2109
0.477,8.5769,1.4111,1442624.7875,27.2813,23.9775
0.487,7.5691,1.459,1444979.7355,25.0489,28.4434
0.4715,8.095,1.4384,8130066.2798,27.3707,17.337
0.4633,8.3505,1.4199,6865524.9081,29.3414,15.7384
0.4712,7.635,1.407,7964344.7498,28.7589,25.0652
0.4701,7.6855,1.4146,1591640.7927,25.958,21.1542
0.4799,10.1411,1.405,7991537.6101,29.3001,19.5342
0.4865,12.3835,1.4099,1448484.6646,27.3324,15.7708
0.4646,7.8305,1.5004,7145848.5778,29.4014,11.3013
0.47,8.7169,1.4479,1364747.6481,27.5692,15.226
0.4601,7.3886,1.4136,1467782.4859,26.4397,16.8753
0.4752,9.7117,1.4203,1353846.3896,26.8668,16.3337
0.4675,7.6559,1.5252,8065727.2376,28.74,10.6016
0.4864,10.1411,1.405,1336609.5575,26.0585,21.9744
0.4768,7.0231,1.5,1369252.3036,26.1847,20.0306
0.4725,8.6796,1.4764,6776677.6979,27.1408,12.6009
0.456,8.5206,1.412,8657850.3804,27.5433,10.6443
0.4673,7.578,1.4983,1434174.4988,27.8405,13.5377
0.4701,9.2614,1.4142,1420643.8045,25.4195,14.0295
0.4623,7.5433,1.4243,1289482.2881,26.7331,16.8249
0.4549,7.313,1.413,7935385.0768,27.8306,14.2071
0.4801,8.5658,1.5452,1460770.3257,25.0739,10.588
0.4692,8.5201,1.4178,8302835.5772,29.061,17.9977
0.4638,8.3256,1.4739,7879923.2795,29.1628,11.2769
0.4808,8.0936,1.4631,1429296.0511,25.3027,20.0833
0.4722,8.5769,1.4111,7553319.1816,28.9591,20.4358
0.4649,7.3238,1.4935,7605707.1126,28.5481,12.9102
0.4727,8.4802,1.5192,7449899.4191,29.57,11.7433
0.4602,7.3955,1.4823,7034272.9526,29.0255,11.7588
0.4554,7.0432,1.4026,7414345.7441,28.5152,17.5357
0.4611,7.578,1.4983,8167860.2963,29.5579,10.5444
0.4787,9.8804,1.435,7579935.0816,28.861,16.694
0.469,7.0124,1.5244,7986905.7321,27.2955,12.2986
0.4781,11.12,1.4216,7310115.9308,29.7816,14.7009
0.4838,8.9548,1.4737,1411612.2123,27.9959,20.8117
0.481,10.0624,1.454,1447564.0598,25.725,14.2243
0.4783,10.6109,1.4831,7995466.7411,28.4407,10.6621
0.4783,7.4738,1.4784,8214576.908,29.0976,22.899
0.4781,9.7829,1.4528,1473948.2077,26.6219,14.6233
0.4723,9.8773,1.4394,1438321.8352,25.5754,11.736
0.4621,7.6667,1.4548,1163855.239,25.4107,12.1305
0.4804,10.2636,1.4507,1529016.6118,25.869,13.7355
0.465,7.8237,1.4293,1177844.7306,25.1725,14.9335
0.474,10.3733,1.4554,8315526.6315,28.6601,11.3177
0.4776,7.4222,1.5776,7419813.5558,27.5644,11.1245
0.4563,7.6075,1.4588,8515306.0191,28.5136,10.6251
0.4707,7.3798,1.5072,7881670.9427,27.739,13.7956
0.4884,8.5831,1.4442,1401232.6771,27.2254,29.2907
0.4687,9.0331,1.4121,7546792.0468,29.2937,16.6803
0.4745,9.5989,1.442,1471737.4515,26.2113,13.836
0.4742,7.3813,1.4033,7830077.5535,28.7845,30.2144
0.4699,7.4956,1.4125,1452106.5335,26.1061,22.5982
0.4564,8.052,1.4187,1490000.8619,27.2752,12.723
0.4702,7.1063,1.4129,7809344.916,28.8757,27.3692
0.4791,7.4355,1.432,8201362.4807,27.7426,27.9787
0.4682,8.107,1.4439,1424337.9617,26.2886,15.497
0.4804,9.4904,1.503,1410345.7346,26.8196,12.8939
0.4629,7.6753,1.4666,6973848.2908,27.0639,11.9057
0.4723,7.8167,1.4226,7339692.1906,28.6442,22.8846
0.4776,9.0864,1.4728,1537036.27,25.2849,13.4645
0.4823,8.0289,1.5291,1434325.2776,25.6878,15.2413
0.4736,8.7117,1.5118,7648045.3085,28.8958,11.5866
0.4638,8.7931,1.4226,7877207.4725,27.7517,12.7031
0.4638,8.8844,1.4013,7247647.6353,29.6823,15.9593
0.4678,10.8195,1.436,7116566.096,29.8822,10.2667
0.4612,8.3664,1.4227,7903860.9052,28.8711,13.7267
0.4784,8.275,1.4215,1432976.625,25.929,23.2193
0.4533,7.93,1.4262,7076286.4557,28.8186,11.3053
0.4765,11.8684,1.4228,7448792.1888,28.2708,11.0894
0.4632,8.8718,1.4114,1481541.0195,25.814,12.645
0.4721,8.0887,1.4903,1345321.6005,27.4457,14.6911
0.4789,8.6872,1.428,1483064.0795,26.0121,20.8377
0.4856,11.3515,1.4474,1475565.3627,26.2217,13.9983
0.467,7.1459,1.4365,1485686.8151,25.9939,19.4796
0.456,7.7,1.4036,7863584.8197,27.9842,14.2979
0.4764,10.718,1.4902,6732997.6566,29.2673,10.0525
0.4632,7.1816,1.4429,1432344.7722,26.3279,16.5568
0.4721,8.8197,1.4186,7697557.4351,29.9338,19.5416
0.476,9.9559,1.4118,8167751.1404,29.3891,17.3535
0.464,8.7795,1.4478,8347505.4067,27.8121,11.0024
0.4764,8.5447,1.5198,7706689.4129,28.8602,12.7116
0.4675,8.4983,1.4355,7113595.6184,28.8685,15.5872
0.4633,9.9231,1.4054,7976352.4547,27.6001,10.6886
0.4713,9.9539,1.4219,1331070.9666,25.1297,11.8886
0.4863,8.3156,1.4606,1403718.2993,25.2368,23.2152
0.4731,7.0132,1.4612,1418458.4021,27.6019,24.3741
0.4738,7.6423,1.4754,1419041.3181,25.5115,16.6747
0.4627,7.7081,1.4529,1424313.0541,25.3485,12.3407
0.4798,8.3483,1.4273,7791975.8128,29.2431,25.7177
0.4669,9.0607,1.4419,8074962.5011,28.0281,12.06
0.4837,8.7054,1.5215,1316384.367,27.8616,16.6864
0.4744,10.4004,1.4777,7198760.7674,28.6845,10.2322
0.4632,7.1843,1.4297,7577157.558,28.6155,18.948
0.479,8.7488,1.4952,1378718.4893,27.1145,15.4086
0.4622,8.159,1.4696,7152577.5126,29.2522,11.5216
0.4756,9.9117,1.4318,1312899.8926,26.2342,14.3173
0.4813,11.2069,1.4611,1450338.2411,27.6119,12.7164
0.4721,7.8659,1.4003,7956262.0204,28.3516,24.5007
0.4641,9.9872,1.4085,8018334.023,28.5974,11.3471
0.472,9.416,1.4478,7997179.3645,28.5228,13.3372
0.4584,7.1598,1.4141,7695625.2415,29.483,18.579
0.4763,7.483,1.5448,1359173.9881,27.0822,13.9016
0.4668,9.3156,1.4063,7889577.4234,27.6058,13.582
0.4711,8.5838,1.4931,7524592.8117,28.4299,11.8875
0.4821,11.0811,1.4018,1194053.7844,27.7905,18.4514
0.4755,9.3433,1.4656,1373694.5361,25.3953,12.4886
0.477,10.1822,1.4033,8288642.4158,28.944,17.3905
0.478,8.3699,1.546,7757918.3123,28.5527,11.6841
0.4765,8.6507,1.5053,1330549.7152,26.9927,13.425
0.4687,11.273,1.4041,7839986.1271,28.0261,10.267
0.4771,7.5569,1.5897,7576232.1245,29.6212,10.9003
0.4646,7.7805,1.4448,1531483.3229,27.6684,16.1224
0.4626,7.866,1.4132,1263103.111,27.878,18.0792
0.4784,9.4508,1.4859,7473464.1008,29.5636,14.3218
0.4809,11.9789,1.4309,1472954.707,25.3068,10.9116
0.4631,8.0887,1.4903,7113581.9921,29.1377,10.5334
0.4775,10.4004,1.4777,1340010.3915,25.992,10.5464
0.4876,7.2736,1.4925,1345144.1593,25.6359,27.6051
0.4765,7.391,1.4779,7244078.3602,28.9223,22.1432
0.4733,8.7418,1.4469,1348021.594,27.2807,16.8098
0.4708,8.1365,1.4265,1409495.5155,25.3609,17.3653
0.4578,8.2931,1.4137,7900961.5687,27.949,12.3411
0.4732,7.6454,1.4472,1481257.7777,26.0929,20.0299
0.4829,9.8569,1.4168,1452923.6011,26.1237,19.6563
0.4555,7.4761,1.4139,1486581.315,25.1788,12.6249
0.4812,8.6232,1.5079,1400815.2668,26.2509,15.0058
0.4861,8.397,1.4346,1433262.7138,26.5145,28.3134
0.4781,9.1145,1.4159,7826997.9672,29.4761,21.8968
0.4647,9.2456,1.4106,1438250.064,25.587,12.1246
0.4706,8.3707,1.5235,7451976.6826,28.9708,10.4025
0.4635,9.6779,1.4092,7288390.2021,27.6732,11.2354
0.451,7.3022,1.4374,7858627.5676,28.0946,10.6581
0.4669,8.0691,1.4214,7983796.5486,27.9633,17.1033
0.4731,9.5906,1.4517,7640055.1736,29.0145,13.5264
0.4771,12.0007,1.4257,7483392.2338,27.262,10.1975
0.4739,8.8745,1.4784,7365604.4902,27.8817,13.0639
0.469,9.3657,1.4208,7866587.9624,27.7975,13.5181
0.4756,10.8699,1.4161,1349012.2985,25.9768,12.6821
0.4786,7.1274,1.545,1419629.598,27.2553,16.9157
0.4789,9.1274,1.4281,6844413.2374,27.6174,19.1121
0.4717,9.5806,1.4067,1534530.2073,26.3946,15.4574
0.4765,8.1378,1.4258,1389009.2961,26.366,22.761
0.4848,8.6373,1.4896,1456281.3755,26.694,19.5012
0.4717,7.1843,1.4297,1386270.1823,25.7541,23.2733
0.4736,9.9662,1.4497,8523758.307,28.2268,12.1206
0.4803,8.2104,1.4651,1513000.5403,25.1061,18.6985
0.4856,10.326,1.4999,1555503.9922,25.8065,12.376
0.4787,7.3273,1.5434,7924847.4935,29.0976,16.3988
0.4768,7.8167,1.4226,1380652.7812,26.4831,25.6043
0.4825,8.6796,1.4764,1395395.6979,27.441,20.1808
0.4711,7.9272,1.4752,8199258.8277,28.6951,15.6445
0.4808,8.3883,1.4951,1417248.9168,27.1826,17.9426
0.4765,8.77,1.4324,7350110.6738,29.2486,20.5573
0.4746,10.7914,1.4266,7822565.0059,29.7783,13.4539
0.4775,7.0839,1.4675,1414866.4008,27.3728,26.5128
0.4848,10.5959,1.4184,1379294.9032,27.0575,19.2123
0.4779,7.453,1.4928,1441492.3115,26.5895,19.9328
0.4533,7.1009,1.4172,1409285.3376,26.1643,13.6304
0.4752,11.3335,1.4117,1523442.9692,25.6335,11.4397
0.4679,7.9968,1.4397,1374215.9055,25.7399,15.4758
0.4799,9.2987,1.4734,1493423.0193,25.8903,14.5697
0.4547,7.1879,1.4535,8030792.8341,29.7076,12.5483
0.4566,7.9293,1.4178,7259407.5528,28.7684,13.3973
0.4751,7.0347,1.4428,7185502.1528,29.0285,28.4958
0.4804,8.6548,1.5029,1432256.5007,27.7531,16.4807
0.4704,8.7395,1.4953,8723326.3531,27.2398,10.0209
0.4675,7.4911,1.5091,8153552.9383,27.2388,11.2061
0.4779,7.5,1.4825,8523171.1316,27.0909,19.1283
0.4775,7.5573,1.5079,8061819.481,27.3106,16.3724
0.4782,8.6949,1.4462,1185625.7642,26.3357,18.9437
0.4779,10.3821,1.4185,1356802.8033,25.6292,14.4478
0.4794,9.641,1.4616,1313203.5875,26.1667,14.5753
0.4819,8.7404,1.4032,1481089.2919,25.7854,25.275
0.4529,7.5941,1.4006,7072534.3911,27.0362,12.7261
0.4715,8.6482,1.424,1380980.9914,27.2499,18.2996
0.4741,8.3901,1.408,7170884.3802,28.2715,22.226
0.4826,12.0007,1.4257,1464460.5468,25.7986,12.2883
0.4724,9.5189,1.4512,7955775.3487,28.2355,12.7703
0.4826,11.4529,1.4334,1298941.7166,25.4917,12.7166
0.4698,9.3396,1.4229,7657487.9306,27.9536,14.0043
