Phi,SP_percent,phi_max,Tau0_Pa
0.4606,0.4238,0.6436,0.5973
0.4865,0.6121,0.6929,0.5797
0.4701,0.5853,0.7032,0.4563
0.4836,0.8213,0.8105,0.3075
0.5068,0.6548,0.74,0.5432
0.489,1.001,0.8978,0.2294
0.4707,0.6017,0.725,0.4074
0.4756,0.8116,0.7771,0.3306
0.457,0.3845,0.5924,0.8564
0.4812,1.0974,0.8999,0.2129
0.4611,0.3947,0.6175,0.7307
0.502,0.8813,0.8445,0.315
0.4879,0.4462,0.6393,0.8641
0.4681,0.727,0.7396,0.3676
0.4879,0.7938,0.7989,0.3366
0.494,0.5112,0.6462,0.8818
0.4989,0.6366,0.7042,0.6181
0.4753,0.5713,0.6908,0.5195
0.5097,0.4804,0.6473,1.0701
0.4735,1.0823,0.9412,0.1736
0.4898,0.3538,0.5835,1.5468
0.5044,0.5911,0.6991,0.6785
0.4939,0.665,0.736,0.4865
0.4926,0.4291,0.6416,0.9001
0.4551,1.0793,0.9159,0.1608
0.486,0.8965,0.8252,0.2952
0.4931,0.629,0.6992,0.5987
0.4584,0.3725,0.5969,0.8384
0.5077,0.4615,0.6398,1.1146
0.476,0.9864,0.8668,0.2293
0.4903,0.8728,0.8172,0.3175
0.4718,1.0536,0.8914,0.2021
0.4928,1.0214,0.89,0.2437
0.5013,0.9727,0.8626,0.2911
0.4624,0.6144,0.6944,0.4417
0.4879,0.7391,0.7446,0.4376
0.4941,1.0988,0.9439,0.2046
0.4659,0.8086,0.8043,0.2676
0.4941,0.368,0.605,1.2945
0.5049,0.7272,0.7734,0.4465
0.4987,0.827,0.7985,0.373
0.5082,0.6782,0.7267,0.5953
0.471,0.3749,0.5897,1.0758
0.4838,0.7252,0.7395,0.4314
0.5079,0.4432,0.6438,1.0781
0.4957,1.0631,0.9188,0.2255
0.4966,0.8421,0.7948,0.3719
0.4705,0.9659,0.8448,0.2372
0.4949,0.9588,0.87,0.2674
0.4899,0.9466,0.8785,0.248
0.4921,1.0946,0.8997,0.2341
0.4771,0.616,0.7068,0.4816
0.4775,0.8996,0.8412,0.2563
0.4723,0.9291,0.832,0.2533
0.4804,0.8256,0.7826,0.3375
0.4978,0.8438,0.8284,0.3245
0.4779,0.8921,0.8403,0.2579
0.4682,0.594,0.7103,0.4296
0.496,0.6514,0.7258,0.5271
0.5061,1.0319,0.9112,0.2528
0.4746,0.597,0.7108,0.4581
0.4854,0.81,0.803,0.3228
0.454,0.9249,0.8512,0.1993
0.4827,0.3543,0.5896,1.2838
0.4825,1.0722,0.9031,0.2129
0.4951,0.959,0.885,0.2533
0.4602,0.7398,0.758,0.3108
0.4627,0.843,0.8096,0.254
0.4796,0.7124,0.7687,0.3572
0.4968,0.6126,0.6907,0.6589
0.4606,0.5265,0.6714,0.4967
0.4615,0.4264,0.6431,0.6063
0.5042,0.9892,0.8841,0.2748
0.4743,0.6711,0.7449,0.381
0.4719,0.5134,0.6854,0.5169
0.4769,0.5281,0.6542,0.6736
0.4734,0.8995,0.845,0.2432
0.4681,0.4912,0.6484,0.6316
0.4657,0.6663,0.7129,0.4128
0.4981,0.9961,0.8592,0.2869
0.4751,0.918,0.8641,0.2297
0.4958,0.4551,0.6544,0.8457
0.4989,0.798,0.7861,0.3962
0.4543,0.862,0.8066,0.2376
0.4583,1.0871,0.9045,0.1717
0.4915,1.0934,0.8995,0.233
0.5004,0.6379,0.7238,0.558
0.484,0.8428,0.8302,0.284
0.4789,0.7494,0.7491,0.3907
0.4733,0.8325,0.8043,0.2868
0.4532,0.9756,0.8493,0.1991
0.4651,0.7731,0.7735,0.3035
0.499,0.996,0.8965,0.2509
0.464,0.4473,0.6275,0.7007
0.4792,1.0209,0.9052,0.2055
0.5037,0.6419,0.7012,0.6645
0.5052,0.7227,0.7804,0.4322
0.5015,0.8502,0.8109,0.3618
0.4582,0.7515,0.7575,0.3056
0.5071,0.9034,0.8424,0.3325
0.452,0.397,0.6297,0.5945
0.4844,1.067,0.8932,0.2242
0.4867,0.6647,0.7214,0.4903
0.5029,1.0122,0.8938,0.262
0.4902,0.6861,0.7413,0.4554
0.4887,0.3842,0.6253,0.9839
0.4951,1.056,0.9142,0.228
0.4537,0.4193,0.6118,0.695
0.4819,0.4304,0.6274,0.8831
0.4506,0.9214,0.8654,0.1836
0.4978,0.554,0.6916,0.6623
0.4591,0.519,0.6584,0.5309
0.4598,1.0698,0.9299,0.16
0.4564,0.9319,0.8657,0.1931
0.4519,0.8388,0.8027,0.2359
0.4665,0.8821,0.8168,0.2555
0.4907,0.6214,0.7174,0.5231
0.5093,1.083,0.9327,0.2409
0.476,1.0325,0.8877,0.2125
0.4714,0.8261,0.7883,0.3019
0.4775,0.5775,0.7121,0.4695
0.4572,1.0268,0.8686,0.1926
0.4922,0.5131,0.6604,0.7731
0.4794,0.8336,0.7937,0.3179
0.4514,0.9172,0.8415,0.2018
0.4548,0.8986,0.8197,0.2263
0.4975,0.5007,0.6724,0.7537
0.4624,0.3507,0.5779,1.066
0.4688,0.7535,0.7873,0.2959
0.4669,0.4801,0.6466,0.6306
0.4897,0.4889,0.6423,0.8624
0.5091,0.9792,0.8512,0.3262
0.4927,0.6174,0.7012,0.5892
0.4645,0.4361,0.6361,0.6615
0.4802,0.3886,0.6029,1.0774
0.4964,0.4482,0.6552,0.8469
0.4897,0.713,0.7313,0.4784
0.4677,0.5243,0.6619,0.5733
0.4963,0.3704,0.5872,1.6488
0.5009,0.6375,0.7062,0.6245
0.5026,0.5324,0.6763,0.7784
0.4864,0.76,0.762,0.3947
0.459,0.7956,0.7844,0.2728
0.4891,0.8157,0.7918,0.3513
0.4963,0.9836,0.8864,0.2544
0.4857,0.7037,0.7457,0.4258
0.4749,0.368,0.596,1.0691
0.4661,0.6208,0.7092,0.4227
0.4974,0.5808,0.7128,0.5767
0.5092,0.9292,0.8335,0.3517
0.4757,0.3703,0.6132,0.9192
0.4645,0.4198,0.6396,0.6443
0.4609,0.9963,0.9019,0.1773
0.471,0.7924,0.7836,0.3073
0.4918,0.9449,0.8464,0.2853
0.458,1.065,0.8853,0.1829
0.4578,0.3668,0.5964,0.836
0.4961,0.6633,0.7284,0.5195
0.5053,0.8125,0.8117,0.3734
0.4783,0.8464,0.8247,0.2757
0.4927,1.0859,0.9216,0.2179
0.4577,0.4639,0.6302,0.6351
0.4617,0.6258,0.7117,0.3982
0.5099,0.595,0.7122,0.6626
0.5006,0.6952,0.7333,0.5296
0.4663,0.962,0.857,0.2181
0.4924,0.3737,0.6202,1.0839
0.4531,0.7485,0.7712,0.273
0.4675,0.9115,0.8402,0.235
0.488,1.049,0.8801,0.2424
0.4542,0.3925,0.5987,0.7797
0.4714,1.0899,0.9254,0.1795
0.4817,0.5442,0.6612,0.6777
0.4917,0.7755,0.7951,0.3548
0.4673,0.7537,0.7732,0.3105
0.4638,0.4404,0.6177,0.7556
0.503,0.502,0.6643,0.8547
0.4865,0.5715,0.6764,0.6453
0.5061,0.8668,0.8373,0.3364
0.4832,0.5791,0.6905,0.5676
0.468,0.9074,0.8165,0.2594
0.4914,1.0588,0.9158,0.2199
0.47,0.8521,0.8391,0.2413
0.5008,0.3677,0.6162,1.2725
0.4909,0.5864,0.6827,0.6509
0.487,0.8263,0.7817,0.3609
0.5018,0.7915,0.7824,0.4145
0.5092,0.9656,0.8535,0.3234
0.4674,1.0251,0.8705,0.2094
0.5063,0.4859,0.6586,0.9317
0.4684,0.6147,0.7156,0.4182
0.4762,0.5708,0.7098,0.4688
0.476,1.0979,0.9233,0.1881
0.4923,0.5014,0.6675,0.7345
0.5064,0.8366,0.8301,0.348
0.5035,0.5312,0.6678,0.837
0.4591,0.396,0.6246,0.6742
0.5051,0.5392,0.6876,0.7397
0.4594,0.8626,0.8241,0.2322
0.4895,0.7492,0.7513,0.4294
0.4617,0.8918,0.8215,0.2398
0.4822,0.8578,0.8264,0.2839
0.4814,0.6707,0.7142,0.483
0.4537,0.7146,0.7367,0.3226
0.476,0.4195,0.6339,0.7761
0.4584,0.358,0.5991,0.8221
0.4979,1.0985,0.9118,0.2356
0.5034,0.6917,0.7497,0.4974
0.4914,0.3795,0.6179,1.0936
0.4675,0.6829,0.7193,0.4065
0.4787,1.0466,0.8914,0.2147
0.5071,0.7498,0.776,0.4501
0.472,0.6471,0.7332,0.3952
0.4618,0.5281,0.6643,0.5271
0.4647,1.0361,0.8871,0.1929
0.484,1.0376,0.9127,0.2085
0.5088,0.8014,0.7965,0.4138
0.46,0.4284,0.6337,0.6373
0.4713,0.8519,0.8141,0.2702
0.4759,0.4457,0.6278,0.8134
0.4659,0.8471,0.8354,0.2359
0.5005,0.5725,0.6743,0.7704
0.456,0.6511,0.7396,0.3254
0.4999,1.0388,0.9051,0.2452
0.4651,0.9832,0.8718,0.2043
0.4732,1.0525,0.8835,0.2105
0.4901,0.5037,0.6534,0.794
0.4836,0.7361,0.7455,0.4168
0.501,0.8432,0.8143,0.3547
0.4527,0.5607,0.7053,0.3751
0.4983,0.5961,0.69,0.6736
0.464,0.4011,0.6049,0.8439
0.4857,0.4105,0.637,0.8566
0.4726,0.6601,0.7103,0.4504
0.5073,0.9402,0.8442,0.3305
0.5024,0.7981,0.7959,0.3909
0.4694,0.7391,0.7745,0.3151
0.4954,0.7056,0.7381,0.4885
0.4665,0.7058,0.7431,0.3556
0.4921,0.7697,0.7558,0.4308
0.4507,0.6621,0.7305,0.3224
0.5035,0.8234,0.8165,0.3597
0.5091,0.865,0.808,0.3935
0.4954,0.6906,0.74,0.4836
0.4951,0.4033,0.6019,1.359
0.4758,0.6783,0.7301,0.4178
0.4626,0.522,0.6684,0.5183
0.4752,0.388,0.5938,1.0964
0.4884,0.85,0.7975,0.3404
0.4572,0.8849,0.8423,0.212
0.4821,0.9771,0.8867,0.225
0.4735,1.0608,0.8872,0.2083
0.4732,0.3996,0.5981,1.0221
0.499,0.4862,0.6489,0.92
0.4863,0.4379,0.6265,0.9432
0.484,0.5424,0.6975,0.5484
0.4532,0.8881,0.8295,0.2147
0.4544,0.8474,0.8175,0.2276
0.4864,0.4164,0.6298,0.9175
0.5052,0.6088,0.6889,0.7337
0.4572,0.6032,0.7242,0.3559
0.4835,0.6103,0.7269,0.4599
0.4911,0.472,0.6636,0.7447
0.4728,0.7927,0.7778,0.3207
0.4728,0.4723,0.6589,0.6207
0.5011,0.5064,0.6799,0.7449
0.4654,0.8895,0.8079,0.2624
0.4573,0.8113,0.8101,0.2409
0.4877,0.494,0.6434,0.8333
0.4731,0.7158,0.7618,0.3465
0.4771,0.8327,0.8077,0.293
0.4512,0.5449,0.6904,0.4004
0.4775,0.7734,0.7879,0.3205
0.4735,0.7959,0.79,0.3055
0.5017,0.9834,0.8632,0.2914
0.5022,0.4855,0.6712,0.8038
0.5081,1.0128,0.9084,0.2598
0.4742,0.4505,0.6202,0.8481
0.4688,0.5311,0.6622,0.5795
0.4835,0.391,0.6293,0.8862
0.4849,0.6511,0.7194,0.4866
0.4625,0.3699,0.5912,0.9355
0.5044,0.4766,0.6679,0.846
0.4846,0.9992,0.905,0.2154
0.477,0.9171,0.8358,0.2606
0.4574,0.4029,0.6324,0.6226
0.5025,0.7467,0.7888,0.4045
0.4581,1.0831,0.9421,0.1519
0.4661,0.499,0.6495,0.6121
0.4926,0.4755,0.6601,0.7777
0.4781,0.6611,0.721,0.4495
0.4916,0.9786,0.8938,0.2379
0.4534,0.9249,0.8572,0.1939
0.4978,0.9046,0.8453,0.3023
0.4542,0.4256,0.6091,0.7145
0.4543,0.4034,0.5994,0.7762
0.4657,0.3568,0.6023,0.8832
0.4504,0.8688,0.8302,0.2087
0.4856,0.3622,0.6076,1.1125
0.4874,0.5552,0.6838,0.621
0.5059,0.8671,0.8302,0.3461
0.4854,0.6207,0.6956,0.5631
0.4846,0.3828,0.5947,1.2524
0.4796,0.5966,0.7081,0.4906
0.5026,1.0973,0.9127,0.2442
0.4534,0.7484,0.7894,0.253
0.506,0.7817,0.7664,0.4672
0.4931,0.5728,0.6948,0.6162
0.4576,0.4973,0.6767,0.4652
0.4918,1.0419,0.9096,0.2254
0.4806,0.44,0.6264,0.8752
0.4816,0.8658,0.8098,0.3025
0.455,0.4712,0.6628,0.4926
0.4631,0.5947,0.7124,0.4027
0.45,0.5809,0.6848,0.4083
0.5085,0.6269,0.7097,0.6634
0.5082,0.4204,0.6315,1.2141
0.5015,0.5787,0.6818,0.7384
0.4877,0.5496,0.663,0.7191
0.4848,1.052,0.9122,0.2105
0.4537,0.4034,0.6202,0.6513
0.5028,0.5118,0.6723,0.8033
0.4735,0.71,0.7569,0.3565
0.5072,0.8894,0.8528,0.3187
0.4833,0.9694,0.8734,0.2385
0.4624,0.7374,0.7418,0.3435
0.4747,0.9799,0.8921,0.2068
0.5045,0.6472,0.7159,0.6107
0.4635,0.6291,0.7139,0.401
0.4845,0.5051,0.6624,0.6948
0.4509,0.5432,0.677,0.431
0.4651,0.685,0.7247,0.3852
0.4855,1.0343,0.8795,0.2378
0.4656,1.0304,0.9025,0.1843
0.4636,0.6162,0.6928,0.4519
0.5026,0.7543,0.7618,0.4627
0.4868,1.0539,0.9125,0.2138
0.4945,0.5212,0.6516,0.8508
0.4707,0.4862,0.67,0.5628
0.4811,0.4007,0.6274,0.8738
0.4814,0.391,0.6294,0.8617
0.5063,0.4859,0.6368,1.1245
0.4876,0.7167,0.7509,0.4221
0.4643,0.6884,0.7645,0.3141
0.4661,0.9482,0.8474,0.2257
0.4586,0.8691,0.8079,0.246
0.4543,0.8633,0.82,0.2252
0.4606,0.5154,0.6542,0.5554
0.4509,1.0738,0.8988,0.164
0.4706,0.9759,0.8921,0.1995
0.459,0.5935,0.7111,0.3883
0.4675,1.0331,0.9082,0.1839
0.5035,0.6953,0.7553,0.4831
0.4633,0.5913,0.7148,0.3984
0.4635,0.8841,0.8159,0.2492
0.4868,1.0235,0.9069,0.2181
0.4933,0.89,0.8387,0.2985
0.4794,1.0892,0.905,0.2059
0.5038,0.7055,0.758,0.478
0.4809,1.0927,0.9261,0.1942
0.4553,0.5155,0.6707,0.4704
0.505,0.4526,0.6564,0.9334
0.4666,0.9264,0.8337,0.2389
0.5005,0.3788,0.6213,1.2019
0.4819,1.0052,0.9085,0.2079
0.4646,1.0751,0.9381,0.1626
0.455,0.6448,0.7064,0.3822
0.4617,1.0178,0.9012,0.1789
0.4541,0.9378,0.8417,0.2067
0.453,0.6696,0.7493,0.3016
0.4585,0.7242,0.764,0.2975
0.4745,1.0148,0.8624,0.2299
0.4639,0.7268,0.7704,0.3044
0.4776,0.9388,0.8731,0.2271
0.4642,0.821,0.8171,0.2498
0.4869,1.0194,0.8661,0.253
0.4995,0.9837,0.8597,0.2899
0.4917,0.8967,0.8527,0.278
0.4527,1.0037,0.9067,0.1624
0.4684,0.7664,0.7813,0.3026
0.4704,0.9611,0.8412,0.2402
0.4588,1.0449,0.8993,0.1755
0.4548,0.7076,0.7572,0.2958
0.4764,0.8097,0.8174,0.2792
0.4845,0.4711,0.6462,0.7841
0.4988,0.8114,0.7878,0.3927
0.4664,0.9553,0.8446,0.2288
0.4586,0.4636,0.6414,0.5924
0.455,1.0118,0.9013,0.1686
0.4895,1.0487,0.9188,0.2142
0.4797,0.3932,0.6148,0.9563
0.4906,0.7957,0.795,0.3513
0.4535,0.9996,0.8852,0.1757
0.4521,0.7634,0.773,0.2682
0.5034,0.6868,0.7404,0.5238
0.4714,0.4614,0.6467,0.6648
0.4841,1.0366,0.8711,0.2423
0.4734,1.0156,0.9078,0.1936
0.5074,0.6325,0.7114,0.648
0.491,0.7229,0.7634,0.4098
0.5023,1.0491,0.9051,0.2503
0.4724,0.5448,0.6888,0.5089
0.4645,0.3593,0.597,0.9126
0.4811,0.4845,0.6716,0.6267
0.4939,0.4112,0.6046,1.2966
0.5053,1.0024,0.8821,0.2794
0.4831,0.7707,0.7967,0.3249
0.4507,0.3568,0.5919,0.7892
0.4899,0.7423,0.7601,0.4122
0.4656,0.6777,0.7424,0.3536
0.489,0.4997,0.667,0.7094
0.454,0.7388,0.749,0.3049
0.508,0.7683,0.7709,0.4656
0.4716,0.9677,0.8824,0.2082
0.4936,0.441,0.6265,1.0392
0.4629,0.8442,0.8063,0.2581
0.501,0.7709,0.7803,0.4156
0.4876,0.4484,0.6194,1.0217
0.4701,0.9521,0.8334,0.2471
0.4885,0.6581,0.7291,0.4785
0.4897,0.8073,0.815,0.319
0.4958,0.7426,0.7542,0.4505
0.457,1.0549,0.9111,0.1661
0.4611,1.0015,0.8953,0.1817
0.4508,0.7552,0.7886,0.2476
0.474,0.9375,0.8405,0.2489
0.4993,0.6944,0.7392,0.5054
0.4584,0.9762,0.8948,0.1775
0.4767,0.5069,0.6451,0.7181
0.4839,0.5503,0.6976,0.5475
0.5028,0.7291,0.7612,0.4653
0.4563,0.5315,0.6936,0.4157
0.4992,0.92,0.8219,0.3377
0.4664,0.4096,0.6048,0.8734
0.481,0.6728,0.728,0.4459
0.4505,0.5143,0.6478,0.5149
0.4904,0.9852,0.8643,0.2629
0.4752,0.8289,0.7998,0.2976
0.4711,0.3823,0.5965,1.0068
0.4778,1.0319,0.8961,0.2096
0.4736,0.8062,0.7921,0.3033
0.4553,0.9165,0.8244,0.2234
0.4786,0.8887,0.8185,0.2838
0.4557,0.5862,0.681,0.444
0.4673,0.6328,0.7138,0.4177
0.4848,1.0466,0.9003,0.2194
0.474,0.6573,0.7501,0.3701
0.4568,0.8537,0.8166,0.2336
0.5006,0.6844,0.7504,0.4817
0.4592,0.7795,0.7725,0.2881
0.4868,0.6637,0.751,0.4186
0.493,0.8442,0.7884,0.3703
0.4993,0.4494,0.6516,0.9038
0.4598,0.4883,0.6432,0.5934
0.4828,0.4185,0.6338,0.8468
0.4904,0.6878,0.7537,0.428
0.4745,0.6553,0.7094,0.4614
0.4855,0.6493,0.7063,0.5283
0.4651,1.0048,0.8646,0.2098
0.5049,0.6755,0.7266,0.5753
0.4859,0.8486,0.8094,0.3153
0.4822,0.7947,0.7935,0.3269
0.5009,0.4864,0.6513,0.9235
0.5005,0.7035,0.7711,0.4326
0.4728,1.0826,0.8949,0.2015
0.4536,0.8028,0.8021,0.2403
0.4637,0.509,0.6684,0.5246
0.5024,0.8992,0.851,0.3077
0.5,0.9054,0.8204,0.3426
0.4915,0.5537,0.6709,0.7097
0.5062,0.398,0.6271,1.2313
0.5047,0.8249,0.8136,0.3684
0.4898,0.5838,0.6977,0.5829
0.4803,1.0753,0.9086,0.205
0.4813,1.082,0.8955,0.2164
0.4627,0.5292,0.664,0.5336
0.4858,1.0968,0.9164,0.2091
0.4676,0.9299,0.8501,0.2264
0.4997,0.6732,0.7251,0.5499
0.4699,0.5362,0.6957,0.4753
0.4603,0.4942,0.6393,0.6137
0.4978,0.4813,0.6585,0.8386
0.4795,1.0453,0.8786,0.2263
0.4695,1.0257,0.9179,0.1811
0.4694,0.8488,0.8162,0.2631
0.4579,0.999,0.8615,0.1988
0.4628,0.3749,0.5978,0.8835
0.5077,0.7317,0.7598,0.492
0.4559,0.4751,0.6656,0.4887
0.469,0.5501,0.6823,0.5105
0.4759,0.5839,0.6972,0.5034
0.4806,0.6631,0.7195,0.4651
0.47,0.6486,0.727,0.4001
0.5041,0.5026,0.644,1.0241
0.4882,0.8946,0.8574,0.2648
0.4641,0.6088,0.6879,0.4673
0.4781,0.461,0.6615,0.6486
0.4848,1.0168,0.8911,0.2265
0.4929,0.8451,0.8011,0.3491
0.4729,0.9314,0.8418,0.2452
0.4724,0.5205,0.6519,0.6488
0.4747,0.5257,0.652,0.6661
0.4886,0.3861,0.6048,1.1961
0.4642,0.7343,0.745,0.3445
0.4776,0.9815,0.8838,0.2185
0.4983,0.9296,0.8515,0.2961
0.4553,0.6067,0.7274,0.3434
0.5074,0.5855,0.7139,0.6378
0.4645,0.8855,0.8093,0.2586
0.4695,0.9099,0.8479,0.2323
0.4541,0.6633,0.715,0.3615
0.4868,0.5396,0.6806,0.63
0.4956,0.4654,0.6312,1.024
0.4807,0.7125,0.7482,0.3996
0.4766,1.0011,0.8634,0.2334
0.4906,0.9784,0.8892,0.2399
0.4646,1.0453,0.8762,0.2002
0.493,0.8797,0.8331,0.3043
0.4921,0.6945,0.7257,0.5061
0.4552,1.0524,0.9207,0.1585
0.4607,0.9481,0.8663,0.2004
0.4897,0.8865,0.8185,0.3143
0.49,0.4101,0.6183,1.068
0.4815,0.4788,0.6418,0.7819
0.4804,0.6571,0.7427,0.4098
0.4632,0.4118,0.6279,0.6922
0.455,0.5083,0.6737,0.4603
0.4945,0.9538,0.8775,0.2591
0.4825,0.8251,0.7914,0.3309
0.5082,0.9991,0.8964,0.2715
0.4539,0.9664,0.8728,0.1842
0.4597,0.3595,0.6003,0.8291
0.4821,1.0972,0.9186,0.2012
0.4968,0.4387,0.614,1.2263
0.4743,0.4769,0.6684,0.5923
0.4988,1.0604,0.933,0.2205
0.4777,0.9715,0.8846,0.2179
0.4988,0.7913,0.7745,0.4184
0.476,0.3829,0.5963,1.0822
0.4937,0.4215,0.6228,1.078
0.5008,1.0198,0.8654,0.2867
0.4537,0.7321,0.7848,0.2588
0.5027,1.001,0.8966,0.2589
0.5031,0.9043,0.8267,0.3427
0.4915,0.525,0.676,0.6855
0.4674,0.7008,0.7537,0.3406
0.5053,0.7874,0.7908,0.4113
0.4513,1.0869,0.8954,0.1664
0.4839,0.3993,0.6259,0.9181
0.4508,0.7338,0.7752,0.2623
0.4656,0.4696,0.6335,0.6836
0.4525,0.4136,0.6301,0.5963
0.4544,0.8168,0.8225,0.2231
0.484,1.0085,0.8868,0.2284
0.4832,0.7509,0.7563,0.3934
0.5092,0.9159,0.8303,0.3566
0.4662,0.5357,0.658,0.5785
0.4996,0.7436,0.7798,0.4109
0.4519,0.641,0.7073,0.3676
0.4709,0.6288,0.6952,0.482
0.5082,0.8957,0.8553,0.3183
0.4725,0.9483,0.8504,0.2363
0.4843,0.7345,0.7537,0.4028
0.5081,0.949,0.8469,0.3292
0.453,0.4624,0.6449,0.5407
0.4706,0.7404,0.7631,0.3364
0.4889,0.3961,0.6258,0.9817
0.4619,0.6638,0.7431,0.3397
0.4761,0.9634,0.8442,0.2501
0.4844,0.6447,0.7032,0.5321
0.4771,0.4556,0.628,0.8253
0.4817,0.7004,0.7305,0.4426
0.5093,0.6708,0.7301,0.5899
0.4872,0.9067,0.8223,0.3022
0.4653,0.8611,0.8317,0.238
0.4716,0.4157,0.6393,0.7047
0.4689,0.4439,0.6413,0.6719
0.4627,0.9812,0.8472,0.2189
0.4871,0.6267,0.7141,0.5132
0.5075,0.7743,0.7814,0.4396
0.4662,0.5366,0.694,0.4615
0.4887,0.4808,0.659,0.7489
0.4622,0.7663,0.788,0.277
0.5097,0.7101,0.7518,0.524
0.5089,1.0339,0.8916,0.2782
0.4827,0.4442,0.6274,0.8915
0.4639,1.057,0.9132,0.1752
0.4505,0.8356,0.827,0.2114
0.4627,0.9972,0.8991,0.1817
0.4658,1.0543,0.9113,0.1793
0.491,0.369,0.6092,1.1837
0.4858,1.0997,0.9349,0.1966
0.4724,1.0563,0.8867,0.2066
0.4659,0.8465,0.8278,0.243
0.4833,0.5685,0.6867,0.582
0.4542,0.8318,0.7831,0.262
0.4747,0.6518,0.7436,0.3851
0.4845,0.8339,0.7835,0.3497
0.4901,0.4217,0.6302,0.9596
0.4815,0.8818,0.8085,0.3041
0.4722,0.3616,0.6145,0.8671
0.4969,0.7837,0.7682,0.4237
0.4894,1.0764,0.9193,0.2136
0.4995,0.6109,0.7163,0.5775
0.4509,0.7872,0.7747,0.2632
0.4942,0.3775,0.6052,1.2942
0.5011,0.5877,0.6847,0.7202
0.4819,0.7733,0.785,0.3389
0.4761,0.5348,0.6882,0.5321
0.4759,0.5684,0.6947,0.5105
0.4856,1.0192,0.8717,0.245
0.4932,0.7333,0.7674,0.4105
0.4617,0.4556,0.6452,0.599
0.4688,0.9417,0.8744,0.2091
0.4935,0.715,0.7715,0.4035
0.484,0.9038,0.8567,0.2557
0.5025,0.973,0.8538,0.3045
0.4772,0.7433,0.7643,0.3565
0.4846,0.6178,0.7241,0.4725
0.4874,0.5817,0.6905,0.5943
0.4678,0.8479,0.8358,0.2396
0.5057,1.0469,0.8921,0.2701
0.4591,0.6802,0.7444,0.3281
0.4823,1.0349,0.8893,0.2231
0.4699,0.5866,0.6816,0.5178
0.4566,1.0128,0.8773,0.1857
0.497,0.4419,0.6396,0.9693
0.4649,0.5877,0.7115,0.4123
0.4992,0.3812,0.6077,1.3592
0.4737,0.3884,0.6073,0.9431
0.4963,0.4299,0.6131,1.2278
0.4609,0.9423,0.8627,0.2034
0.4865,0.582,0.7096,0.5235
0.4805,0.6645,0.7112,0.4867
0.4806,0.726,0.7389,0.4187
0.4597,1.0744,0.8966,0.1786
0.51,1.0975,0.9231,0.2505
0.4684,0.3802,0.6105,0.8527
0.4611,1.0205,0.8972,0.1803
0.4842,0.4229,0.6304,0.887
0.4848,0.9063,0.8476,0.2669
0.4587,0.4202,0.6068,0.7731
0.4609,0.9908,0.8755,0.1941
0.4916,1.0905,0.9047,0.2289
0.488,0.7518,0.7519,0.4218
0.4504,0.7222,0.748,0.2955
0.4539,0.785,0.7883,0.2554
0.4839,0.6979,0.7683,0.3735
0.4642,0.4263,0.6145,0.78
0.4559,0.7187,0.755,0.302
0.4808,0.7317,0.756,0.3848
